n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,l
5.0,11.0,9.0,0.0,14.0,14.0,6.0,0.33,4.0,3.5,6.0,1.0,28.0,5.0,0.8,18.0,1.0,5.0,0.83,42.78,14.62,9144.94,0.21,116.0,0.07,508.05,625.51,0.83,5.0,8.0,24.0,0.15,43.0,73.0,25.0,17.0,39.0,43.75,18.0,-1.0
2.0,6.0,4.0,0.0,0.0,4.0,4.0,0.31,2.0,2.0,3.0,0.75,15.0,3.0,0.67,13.0,1.0,3.0,0.75,28.67,7.0,1404.72,0.07,45.0,0.14,78.04,200.67,0.75,1.0,2.0,13.0,0.24,14.0,31.0,11.0,11.0,17.0,0.0,13.0,-1.0
15.0,33.0,13.0,0.0,9.0,58.0,17.0,0.22,26.0,2.23,13.0,0.76,97.0,12.0,0.69,76.0,3.0,10.0,0.59,69.47,40.7,115062.64,0.94,473.0,0.02,6392.37,2827.25,0.71,16.0,29.0,82.0,0.17,175.0,298.0,43.0,20.0,102.0,10.59,76.0,-1.0
0.0,5.0,4.0,0.0,0.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,15.0,3.0,1.0,17.0,1.0,2.0,0.67,24.56,12.25,3685.14,0.1,64.0,0.08,204.73,300.83,1.0,2.0,4.0,14.0,0.17,21.0,43.0,12.0,14.0,18.0,0.0,17.0,-1.0
5.0,11.0,9.0,0.0,11.0,12.0,7.0,0.16,6.0,2.0,5.0,0.71,40.0,1.0,0.0,44.0,3.0,6.0,0.86,42.06,32.72,45051.12,0.46,236.0,0.03,2502.84,1376.56,0.14,3.0,6.0,35.0,0.11,90.0,146.0,33.0,24.0,62.0,20.0,44.0,-1.0
4.0,10.0,9.0,0.0,1.0,12.0,6.0,0.22,6.0,2.0,6.0,1.0,37.0,4.0,0.6,27.0,0.0,5.0,0.83,61.09,13.24,10710.87,0.27,152.0,0.08,595.05,808.93,0.67,3.0,6.0,33.0,0.18,55.0,97.0,27.0,13.0,33.0,3.57,27.0,-1.0
5.0,21.0,14.0,0.0,3.0,38.0,11.0,0.27,18.0,2.11,10.0,0.91,66.0,1.0,0.0,41.0,1.0,11.0,1.0,58.14,23.94,33320.87,0.46,243.0,0.04,1851.16,1391.88,0.09,10.0,19.0,57.0,0.22,79.0,164.0,33.0,20.0,50.0,6.82,41.0,-1.0
5.0,18.0,18.0,0.0,2.0,20.0,10.0,0.17,10.0,2.0,8.0,0.8,62.0,5.0,0.44,58.0,0.0,9.0,0.9,69.5,23.96,39892.13,0.56,269.0,0.04,2216.23,1665.06,0.5,5.0,10.0,54.0,0.15,92.0,177.0,48.0,25.0,66.0,3.33,58.0,-1.0
0.0,6.0,4.0,0.0,0.0,4.0,4.0,0.25,2.0,2.0,3.0,0.75,15.0,1.0,0.0,16.0,0.0,2.0,0.5,24.11,11.64,3264.45,0.09,59.0,0.09,181.36,280.54,0.25,1.0,2.0,13.0,0.24,16.0,43.0,11.0,16.0,17.0,0.0,16.0,-1.0
3.0,9.0,7.0,0.0,0.0,16.0,5.0,0.33,8.0,2.0,5.0,1.0,27.0,1.0,0.0,15.0,3.0,5.0,1.0,42.6,12.5,6656.28,0.18,103.0,0.08,369.79,532.5,0.2,4.0,8.0,24.0,0.26,35.0,68.0,21.0,15.0,19.0,0.0,15.0,-1.0
1.0,8.0,5.0,0.0,1.0,8.0,5.0,0.24,4.0,2.0,4.0,0.8,22.0,3.0,0.5,21.0,1.0,4.0,0.8,28.45,10.64,3218.64,0.1,66.0,0.09,178.81,302.61,0.6,2.0,4.0,19.0,0.21,18.0,48.0,11.0,13.0,24.0,4.55,21.0,-1.0
1.0,20.0,11.0,0.0,2.0,26.0,11.0,0.28,10.0,2.6,8.0,0.73,52.0,1.0,0.0,39.0,3.0,10.0,0.91,60.86,22.0,29456.04,0.45,224.0,0.05,1636.45,1338.91,0.09,8.0,13.0,43.0,0.25,82.0,142.0,41.0,22.0,44.0,4.88,39.0,-1.0
1.0,3.0,4.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,9.0,1.0,0.0,9.0,1.0,2.0,1.0,17.15,13.0,2898.63,0.07,50.0,0.08,161.04,222.97,0.5,1.0,2.0,9.0,0.18,18.0,32.0,9.0,13.0,11.0,0.0,9.0,-1.0
10.0,23.0,14.0,0.0,13.0,34.0,13.0,0.25,16.0,2.13,12.0,0.92,74.0,1.0,0.0,52.0,1.0,11.0,0.85,64.37,33.13,70666.9,0.71,348.0,0.03,3925.94,2132.99,0.08,9.0,17.0,63.0,0.17,127.0,221.0,46.0,24.0,77.0,20.0,52.0,-1.0
2.0,3.0,5.0,0.0,1.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,10.0,1.0,0.0,8.0,1.0,2.0,1.0,26.84,8.18,1796.86,0.07,50.0,0.12,99.83,219.62,0.5,1.0,2.0,10.0,0.17,18.0,32.0,11.0,10.0,12.0,11.11,8.0,-1.0
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,7.0,1.0,0.0,9.0,0.0,2.0,1.0,15.96,9.75,1517.0,0.05,36.0,0.1,84.28,155.59,0.5,1.0,2.0,7.0,0.17,13.0,23.0,8.0,12.0,12.0,0.0,9.0,-1.0
4.0,5.0,5.0,0.0,0.0,8.0,3.0,0.2,4.0,2.0,3.0,1.0,18.0,1.0,0.0,15.0,2.0,2.0,0.67,31.14,17.14,9151.3,0.18,101.0,0.06,508.41,533.83,0.33,2.0,4.0,17.0,0.15,40.0,61.0,21.0,18.0,20.0,0.0,15.0,-1.0
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,2.0,2.0,1.0,20.81,9.0,1685.67,0.06,42.0,0.11,93.65,187.3,0.5,1.0,2.0,9.0,0.22,15.0,27.0,10.0,12.0,9.0,0.0,8.0,-1.0
0.0,5.0,5.0,0.0,3.0,8.0,3.0,0.19,4.0,2.0,3.0,1.0,15.0,1.0,0.0,16.0,2.0,3.0,1.0,25.63,16.0,6560.0,0.14,82.0,0.06,364.44,410.0,0.33,2.0,4.0,14.0,0.14,32.0,50.0,16.0,16.0,21.0,15.79,16.0,-1.0
3.0,11.0,6.0,0.0,0.0,18.0,6.0,0.43,8.0,2.25,5.0,0.83,28.0,1.0,0.0,14.0,3.0,6.0,1.0,37.16,16.43,10037.72,0.2,114.0,0.06,557.65,610.76,0.17,5.0,9.0,24.0,0.32,42.0,72.0,23.0,18.0,19.0,0.0,14.0,-1.0
8.0,16.0,13.0,0.0,9.0,20.0,10.0,0.22,10.0,2.0,8.0,0.8,56.0,1.0,0.0,46.0,2.0,7.0,0.7,65.15,27.14,47999.33,0.59,297.0,0.04,2666.63,1768.4,0.1,5.0,10.0,48.0,0.15,114.0,183.0,42.0,20.0,65.0,16.36,46.0,-1.0
0.0,7.0,5.0,0.0,0.0,8.0,4.0,0.36,2.0,4.0,3.0,0.75,17.0,4.0,1.0,11.0,1.0,1.0,0.25,18.54,18.0,6006.03,0.11,68.0,0.06,333.67,333.67,1.0,3.0,4.0,15.0,0.33,24.0,44.0,12.0,18.0,12.0,0.0,11.0,-1.0
12.0,11.0,13.0,0.0,0.0,8.0,7.0,0.13,4.0,2.0,5.0,0.71,42.0,4.0,0.5,54.0,2.0,4.0,0.57,88.12,18.17,29080.61,0.53,271.0,0.06,1615.59,1600.77,0.57,2.0,4.0,37.0,0.1,109.0,162.0,45.0,15.0,67.0,0.0,54.0,-1.0
1.0,9.0,6.0,0.0,1.0,4.0,6.0,0.21,2.0,2.0,4.0,0.67,26.0,1.0,0.0,28.0,0.0,4.0,0.67,52.27,12.46,8112.64,0.22,125.0,0.08,450.7,651.18,0.17,1.0,2.0,22.0,0.19,46.0,79.0,24.0,13.0,32.0,3.45,28.0,-1.0
7.0,17.0,21.0,0.0,2.0,20.0,10.0,0.14,10.0,2.0,10.0,1.0,75.0,7.0,0.67,73.0,0.0,9.0,0.9,118.08,20.61,50170.62,0.81,385.0,0.05,2787.26,2433.94,0.7,5.0,10.0,67.0,0.12,142.0,243.0,62.0,18.0,84.0,2.67,73.0,-1.0
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,8.0,1.0,0.0,6.0,1.0,2.0,1.0,15.86,7.2,822.39,0.04,30.0,0.14,45.69,114.22,0.5,1.0,2.0,8.0,0.25,8.0,22.0,5.0,9.0,8.0,0.0,6.0,-1.0
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,0.0,2.0,1.0,28.73,7.92,1800.5,0.08,51.0,0.13,100.03,227.43,0.5,1.0,2.0,9.0,0.2,19.0,32.0,12.0,10.0,10.0,0.0,8.0,-1.0
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,0.0,2.0,1.0,20.33,9.78,1943.91,0.07,46.0,0.1,107.99,198.81,0.5,1.0,2.0,9.0,0.22,16.0,30.0,9.0,11.0,9.0,0.0,8.0,-1.0
1.0,7.0,9.0,0.0,0.0,12.0,4.0,0.33,6.0,2.0,4.0,1.0,24.0,1.0,0.0,12.0,3.0,4.0,1.0,44.33,7.33,2383.85,0.11,70.0,0.14,132.44,325.07,0.25,3.0,6.0,22.0,0.29,22.0,48.0,15.0,10.0,14.0,0.0,12.0,-1.0
3.0,7.0,9.0,0.0,2.0,12.0,4.0,0.24,6.0,2.0,4.0,1.0,24.0,1.0,0.0,17.0,2.0,3.0,0.75,33.69,16.2,8841.71,0.18,104.0,0.06,491.21,545.78,0.25,3.0,6.0,22.0,0.16,36.0,68.0,20.0,18.0,25.0,10.53,17.0,-1.0
5.0,23.0,9.0,0.0,0.0,34.0,12.0,0.43,12.0,2.83,10.0,0.83,57.0,7.0,0.55,28.0,3.0,11.0,0.92,47.44,22.67,24374.21,0.36,186.0,0.04,1354.12,1075.33,0.58,11.0,17.0,47.0,0.34,68.0,118.0,33.0,22.0,35.0,0.0,28.0,-1.0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,8.0,1.0,0.0,8.0,1.0,2.0,1.0,15.23,10.5,1679.07,0.05,37.0,0.1,93.28,159.91,0.5,1.0,2.0,8.0,0.2,14.0,23.0,8.0,12.0,10.0,0.0,8.0,-1.0
10.0,12.0,20.0,0.0,5.0,16.0,7.0,0.15,8.0,2.0,7.0,1.0,53.0,3.0,0.33,47.0,0.0,6.0,0.86,100.52,18.02,32631.05,0.6,289.0,0.06,1812.84,1811.1,0.43,4.0,8.0,48.0,0.11,110.0,179.0,58.0,19.0,63.0,9.62,47.0,-1.0
0.0,3.0,8.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,16.0,1.0,0.0,12.0,0.0,2.0,1.0,33.66,13.22,5883.89,0.15,89.0,0.08,326.88,445.0,5.0,1.0,2.0,16.0,0.15,34.0,55.0,18.0,14.0,13.0,0.0,12.0,-1.0
24.0,45.0,36.0,1.0,8.0,58.0,25.0,0.21,24.0,2.42,23.0,0.92,150.0,8.0,0.29,117.0,0.0,23.0,0.92,142.73,32.85,154013.92,1.56,680.0,0.03,8556.33,4688.48,0.32,17.0,29.0,127.0,0.17,235.0,445.0,93.0,26.0,151.0,7.14,118.0,-1.0
0.0,3.0,3.0,0.0,0.0,6.0,2.0,0.5,2.0,3.0,2.0,1.0,11.0,1.0,0.0,4.0,1.0,2.0,1.0,14.83,7.0,726.48,0.03,30.0,0.14,40.36,103.78,0.5,2.0,3.0,11.0,0.4,8.0,22.0,4.0,7.0,5.0,0.0,4.0,-1.0
2.0,3.0,2.0,0.0,0.0,6.0,2.0,0.33,2.0,3.0,2.0,1.0,7.0,1.0,0.0,6.0,0.0,2.0,1.0,17.23,8.67,1294.27,0.05,34.0,0.12,71.9,149.34,0.5,2.0,3.0,7.0,0.22,13.0,21.0,9.0,12.0,9.0,0.0,6.0,-1.0
12.0,15.0,20.0,1.0,7.0,16.0,9.0,0.17,8.0,2.0,7.0,0.78,56.0,5.0,0.5,52.0,1.0,7.0,0.78,99.0,17.94,31877.94,0.59,287.0,0.06,1771.0,1776.48,0.56,4.0,8.0,49.0,0.12,102.0,185.0,54.0,19.0,73.0,13.33,53.0,1.0
7.0,6.0,14.0,0.0,0.0,4.0,4.0,0.17,2.0,2.0,4.0,1.0,26.0,1.0,0.0,23.0,2.0,4.0,1.0,68.58,11.02,8321.46,0.25,136.0,0.09,462.3,755.42,0.25,1.0,2.0,24.0,0.13,47.0,89.0,32.0,15.0,32.0,0.0,23.0,1.0
18.0,30.0,12.0,2.0,7.0,42.0,17.0,0.19,20.0,2.1,14.0,0.82,96.0,8.0,0.44,88.0,1.0,13.0,0.76,66.14,38.06,95809.13,0.84,418.0,0.03,5322.73,2517.35,0.47,11.0,21.0,81.0,0.15,139.0,279.0,42.0,23.0,117.0,9.28,90.0,1.0
2.0,6.0,4.0,0.0,0.0,4.0,4.0,0.25,2.0,2.0,3.0,0.75,16.0,1.0,0.0,16.0,0.0,2.0,0.5,25.41,14.0,4980.42,0.12,74.0,0.07,276.69,355.74,0.25,1.0,2.0,14.0,0.21,28.0,46.0,14.0,14.0,19.0,0.0,16.0,1.0
21.0,41.0,28.0,0.0,11.0,64.0,22.0,0.2,30.0,2.13,19.0,0.86,151.0,8.0,0.33,111.0,1.0,16.0,0.73,141.86,34.57,169489.04,1.63,715.0,0.03,9416.06,4903.46,0.36,17.0,32.0,131.0,0.15,265.0,450.0,92.0,24.0,144.0,9.02,111.0,1.0
4.0,3.0,6.0,1.0,0.0,4.0,2.0,0.14,2.0,2.0,2.0,1.0,12.0,1.0,0.0,13.0,2.0,2.0,1.0,35.51,12.28,5352.73,0.15,88.0,0.08,297.37,435.97,0.5,1.0,2.0,12.0,0.11,34.0,54.0,18.0,13.0,19.0,7.14,14.0,1.0
0.0,5.0,8.0,1.0,1.0,6.0,3.0,0.18,2.0,3.0,3.0,1.0,19.0,3.0,1.0,16.0,1.0,3.0,1.0,27.98,18.0,9065.86,0.17,99.0,0.06,503.66,503.66,1.0,2.0,3.0,18.0,0.16,32.0,67.0,16.0,18.0,19.0,11.11,17.0,1.0
0.0,5.0,2.0,0.0,1.0,6.0,3.0,0.3,2.0,3.0,2.0,0.67,12.0,3.0,1.0,10.0,3.0,3.0,1.0,19.09,17.86,6086.79,0.11,67.0,0.06,338.15,340.86,1.0,2.0,3.0,11.0,0.23,25.0,42.0,14.0,20.0,13.0,9.09,10.0,1.0
12.0,24.0,16.0,0.0,6.0,38.0,13.0,0.22,18.0,2.11,12.0,0.92,77.0,7.0,0.5,59.0,3.0,10.0,0.77,65.25,34.2,76313.12,0.74,351.0,0.03,4239.62,2231.5,0.54,10.0,19.0,66.0,0.16,125.0,226.0,53.0,29.0,79.0,9.23,59.0,1.0
4.0,8.0,9.0,0.0,3.0,8.0,5.0,0.19,4.0,2.0,2.0,0.4,28.0,1.0,0.0,27.0,0.0,4.0,0.8,63.88,14.57,13563.07,0.31,161.0,0.07,753.5,930.8,0.2,2.0,4.0,25.0,0.14,51.0,110.0,35.0,20.0,36.0,10.0,27.0,1.0
