n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,l
6.0,1.0,13.0,2.0,2.0,0.0,1.0,0.06,0.0,1.0,1.0,20.0,1.0,0.0,15.0,0.0,1.0,1.0,17.64,23.25,9537.7,0.14,105.0,0.04,529.87,410.22,1.0,0.0,0.0,21.0,0.04,31.0,74.0,6.0,9.0,27.0,21.05,17.0,-1.0
7.0,17.0,12.0,1.0,4.0,26.0,9.0,0.2,10.0,5.0,0.56,36.0,4.0,0.38,43.0,0.0,5.0,0.56,40.64,14.96,9090.89,0.2,115.0,0.07,505.05,607.82,0.44,8.0,13.0,29.0,0.16,43.0,72.0,23.0,16.0,57.0,10.42,44.0,-1.0
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,6.0,1.0,0.0,5.0,0.0,2.0,1.0,8.0,4.5,162.0,0.01,12.0,0.22,9.0,36.0,0.5,1.0,2.0,6.0,0.29,3.0,9.0,2.0,6.0,7.0,0.0,5.0,-1.0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,6.97,2.0,27.86,0.0,6.0,0.5,1.55,13.93,1.0,0.0,0.0,4.0,0.25,1.0,5.0,1.0,4.0,4.0,0.0,2.0,-1.0
0.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,1.0,0.5,6.0,1.0,0.0,2.0,0.0,1.0,0.5,12.09,6.3,479.73,0.03,20.0,0.16,26.65,76.15,0.5,1.0,2.0,6.0,0.4,7.0,13.0,5.0,9.0,5.0,33.33,2.0,-1.0
9.0,15.0,1.0,3.0,13.0,24.0,8.0,0.18,10.0,3.0,0.38,29.0,4.0,0.43,41.0,0.0,4.0,0.5,32.32,26.36,22461.45,0.28,158.0,0.04,1247.86,851.99,0.5,7.0,12.0,23.0,0.12,58.0,100.0,22.0,20.0,69.0,28.07,44.0,-1.0
0.0,13.0,0.0,0.0,0.0,18.0,7.0,0.37,6.0,1.0,0.14,20.0,7.0,1.0,19.0,0.0,7.0,1.0,30.29,12.57,4787.15,0.13,82.0,0.08,265.95,380.8,1.0,6.0,9.0,15.0,0.29,32.0,50.0,14.0,11.0,24.0,0.0,19.0,-1.0
8.0,21.0,5.0,15.0,14.0,40.0,1.0,0.01,20.0,1.0,1.0,51.0,1.0,0.0,68.0,0.0,1.0,1.0,69.63,29.3,59767.66,0.68,340.0,0.03,3320.43,2040.0,1.0,10.0,20.0,42.0,0.01,162.0,178.0,47.0,17.0,110.0,29.9,83.0,-1.0
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.25,0.0,1.0,0.0,1.0,4.0,0.0,1.0,-1.0
21.0,15.0,9.0,2.0,14.0,26.0,8.0,0.1,12.0,5.0,0.63,52.0,3.0,0.29,82.0,0.0,0.0,0.0,87.79,39.59,137611.34,1.16,569.0,0.03,7645.07,3475.75,0.38,7.0,13.0,46.0,0.07,194.0,375.0,49.0,20.0,121.0,16.32,84.0,-1.0
6.0,15.0,2.0,0.0,3.0,22.0,8.0,0.14,8.0,4.0,0.5,24.0,5.0,0.57,57.0,0.0,8.0,1.0,50.78,25.15,32110.24,0.43,224.0,0.04,1783.9,1276.9,0.63,7.0,11.0,18.0,0.11,95.0,129.0,34.0,18.0,71.0,5.0,57.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,6.36,7.5,357.94,0.02,17.0,0.13,19.89,47.73,1.0,0.0,0.0,2.0,0.2,6.0,11.0,2.0,5.0,5.0,0.0,3.0,-1.0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,7.97,5.83,271.29,0.02,14.0,0.17,15.07,46.51,0.5,1.0,2.0,5.0,0.25,5.0,9.0,3.0,7.0,8.0,0.0,6.0,-1.0
14.0,19.0,5.0,8.0,15.0,36.0,1.0,0.01,18.0,1.0,1.0,54.0,1.0,0.0,62.0,0.0,1.0,1.0,59.96,20.52,25237.81,0.41,224.0,0.05,1402.1,1230.18,1.0,9.0,18.0,46.0,0.01,101.0,123.0,32.0,13.0,102.0,27.06,70.0,-1.0
9.0,1.0,2.0,2.0,25.0,0.0,1.0,0.1,0.0,1.0,1.0,3.0,1.0,0.0,8.0,0.0,0.0,0.0,33.62,6.0,1210.43,0.07,44.0,0.17,67.25,201.74,1.0,0.0,0.0,4.0,0.02,20.0,24.0,15.0,9.0,46.0,77.14,10.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,9.49,3.5,116.27,0.01,10.0,0.29,6.46,33.22,1.0,0.0,0.0,3.0,0.2,3.0,7.0,3.0,7.0,5.0,0.0,2.0,-1.0
2.0,3.0,1.0,2.0,0.0,4.0,2.0,0.25,2.0,1.0,0.5,6.0,1.0,0.0,6.0,1.0,1.0,0.5,14.43,5.14,381.76,0.02,19.0,0.19,21.21,74.23,0.5,1.0,2.0,6.0,0.17,9.0,10.0,7.0,8.0,12.0,25.0,8.0,-1.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.67,1.5,6.0,0.0,4.0,0.67,0.33,4.0,1.0,0.0,0.0,3.0,0.14,3.0,1.0,1.0,1.0,7.0,0.0,3.0,-1.0
2.0,7.0,1.0,6.0,0.0,10.0,4.0,0.31,4.0,1.0,0.25,12.0,1.0,0.0,7.0,0.0,3.0,0.75,17.58,10.83,2062.65,0.06,41.0,0.09,114.59,190.4,0.25,3.0,5.0,10.0,0.22,20.0,21.0,12.0,13.0,18.0,46.15,13.0,-1.0
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,6.0,1.0,0.0,6.0,0.0,2.0,1.0,10.3,4.0,164.84,0.01,13.0,0.25,9.16,41.21,0.5,1.0,2.0,6.0,0.22,4.0,9.0,3.0,6.0,9.0,0.0,6.0,-1.0
3.0,3.0,2.0,0.0,6.0,4.0,2.0,0.22,2.0,2.0,1.0,8.0,1.0,0.0,9.0,0.0,0.0,0.0,8.96,10.0,896.24,0.03,25.0,0.1,49.79,89.62,0.5,1.0,2.0,8.0,0.1,10.0,15.0,4.0,8.0,20.0,40.0,9.0,-1.0
3.0,11.0,5.0,1.0,2.0,16.0,6.0,0.26,6.0,4.0,0.67,23.0,3.0,0.4,22.0,0.0,6.0,1.0,25.35,25.65,16675.18,0.22,123.0,0.04,926.4,650.1,0.5,5.0,8.0,19.0,0.19,54.0,69.0,20.0,19.0,31.0,12.0,23.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,11.41,2.5,71.32,0.01,9.0,0.4,3.96,28.53,1.0,0.0,0.0,2.0,0.25,4.0,5.0,4.0,5.0,4.0,0.0,2.0,-1.0
1.0,1.0,3.0,0.0,9.0,0.0,1.0,0.04,0.0,1.0,1.0,6.0,1.0,0.0,26.0,0.0,0.0,0.0,89.88,6.23,3489.23,0.19,112.0,0.16,193.85,560.0,1.0,0.0,0.0,7.0,0.03,54.0,58.0,26.0,6.0,37.0,25.71,26.0,-1.0
3.0,9.0,5.0,0.0,9.0,16.0,5.0,0.13,8.0,2.0,0.4,25.0,1.0,0.0,39.0,0.0,5.0,1.0,31.15,11.6,4191.91,0.12,76.0,0.09,232.88,361.37,0.2,4.0,8.0,22.0,0.09,29.0,47.0,15.0,12.0,53.0,18.75,39.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,2.5,2.0,10.0,0.0,5.0,0.5,0.56,5.0,1.0,0.0,0.0,2.0,0.14,4.0,1.0,1.0,1.0,7.0,0.0,6.0,-1.0
2.0,9.0,0.0,6.0,0.0,16.0,5.0,0.25,8.0,1.0,0.2,19.0,1.0,0.0,14.0,0.0,5.0,1.0,23.12,11.15,2875.94,0.09,57.0,0.09,159.77,257.83,0.2,4.0,8.0,16.0,0.2,29.0,28.0,13.0,10.0,25.0,30.0,20.0,-1.0
1.0,9.0,0.0,4.0,6.0,16.0,5.0,0.14,8.0,1.0,0.2,18.0,1.0,0.0,31.0,0.0,5.0,1.0,41.1,7.0,2014.07,0.1,69.0,0.14,111.89,287.72,0.2,4.0,8.0,15.0,0.11,28.0,41.0,12.0,6.0,47.0,24.39,35.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,1.0,0.0,0.0,3.0,0.25,2.0,6.0,2.0,6.0,4.0,0.0,2.0,-1.0
22.0,17.0,2.0,8.0,23.0,20.0,11.0,0.16,10.0,11.0,1.0,39.0,1.0,0.0,60.0,0.0,11.0,1.0,46.09,28.41,37194.42,0.44,232.0,0.04,2066.36,1309.37,0.09,5.0,10.0,30.0,0.09,101.0,131.0,32.0,18.0,116.0,34.07,68.0,-1.0
2.0,7.0,0.0,1.0,0.0,12.0,4.0,0.27,6.0,1.0,0.25,13.0,1.0,0.0,14.0,0.0,1.0,0.25,26.1,5.95,924.18,0.05,38.0,0.17,51.34,155.32,0.25,3.0,6.0,11.0,0.21,17.0,21.0,10.0,7.0,19.0,6.67,15.0,-1.0
1.0,7.0,5.0,0.0,6.0,8.0,4.0,0.29,2.0,2.0,0.5,14.0,1.0,0.0,14.0,0.0,0.0,0.0,37.37,9.55,3405.1,0.12,69.0,0.1,189.17,356.72,0.25,3.0,4.0,12.0,0.17,30.0,39.0,22.0,14.0,23.0,30.0,14.0,-1.0
4.0,5.0,3.0,0.0,1.0,8.0,3.0,0.2,4.0,1.0,0.33,12.0,1.0,0.0,15.0,0.0,3.0,1.0,22.01,10.0,2200.78,0.07,48.0,0.1,122.27,220.08,0.33,2.0,4.0,11.0,0.12,20.0,28.0,12.0,12.0,25.0,6.25,15.0,-1.0
4.0,43.0,1.0,3.0,0.0,84.0,22.0,0.05,42.0,2.0,0.09,137.0,1.0,0.0,479.0,0.0,5.0,0.23,1643.15,10.81,192184.74,5.92,2029.0,0.09,10676.93,17770.43,0.05,21.0,42.0,117.0,0.05,1019.0,1010.0,424.0,9.0,487.0,0.62,482.0,-1.0
7.0,17.0,2.0,0.0,3.0,26.0,9.0,0.16,10.0,4.0,0.44,28.0,5.0,0.5,58.0,0.0,8.0,0.89,51.48,26.39,35852.46,0.45,235.0,0.04,1991.8,1358.62,0.56,8.0,13.0,21.0,0.12,100.0,135.0,36.0,19.0,75.0,4.92,58.0,-1.0
1.0,11.0,0.0,1.0,4.0,20.0,6.0,0.27,10.0,1.0,0.17,20.0,1.0,0.0,21.0,0.0,5.0,0.83,13.86,22.5,7014.99,0.1,68.0,0.04,389.72,311.78,0.17,5.0,10.0,16.0,0.19,27.0,41.0,9.0,15.0,31.0,19.23,22.0,-1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.07,0.0,1.0,1.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,2.17,6.0,78.0,0.0,13.0,0.17,4.33,13.0,1.0,0.0,0.0,3.0,0.06,12.0,1.0,1.0,1.0,17.0,6.25,15.0,-1.0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,13.95,2.5,87.17,0.01,11.0,0.4,4.84,34.87,1.0,0.0,0.0,4.0,0.17,4.0,7.0,4.0,5.0,6.0,0.0,2.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,13.88,4.0,222.03,0.02,15.0,0.25,12.33,55.51,1.0,0.0,0.0,2.0,0.2,5.0,10.0,5.0,8.0,5.0,0.0,2.0,-1.0
0.0,5.0,3.0,0.0,1.0,6.0,3.0,0.33,2.0,3.0,1.0,12.0,3.0,1.0,9.0,0.0,2.0,0.67,29.17,5.33,829.81,0.05,36.0,0.19,46.1,155.59,1.0,2.0,3.0,11.0,0.25,16.0,20.0,12.0,8.0,12.0,10.0,9.0,-1.0
0.0,11.0,0.0,0.0,2.0,20.0,6.0,0.46,10.0,1.0,0.17,23.0,1.0,0.0,13.0,0.0,4.0,0.67,29.47,9.54,2681.34,0.09,64.0,0.1,148.96,281.11,0.17,5.0,10.0,19.0,0.38,31.0,33.0,13.0,8.0,16.0,13.33,13.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,5.8,2.0,23.22,0.0,5.0,0.5,1.29,11.61,1.0,0.0,0.0,3.0,0.25,1.0,4.0,1.0,4.0,4.0,0.0,2.0,-1.0
3.0,3.0,1.0,0.0,7.0,4.0,2.0,0.2,2.0,1.0,0.5,7.0,1.0,0.0,10.0,0.0,2.0,1.0,22.57,4.89,539.55,0.04,27.0,0.2,29.97,110.36,0.5,1.0,2.0,7.0,0.08,11.0,16.0,9.0,8.0,25.0,41.18,10.0,-1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.33,0.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,18.82,4.0,301.14,0.03,21.0,0.25,16.73,75.28,1.0,0.0,0.0,4.0,0.17,8.0,13.0,6.0,6.0,6.0,25.0,3.0,-1.0
2.0,5.0,0.0,0.0,1.0,8.0,3.0,0.23,4.0,1.0,0.33,9.0,3.0,1.0,13.0,0.0,3.0,1.0,15.56,9.17,1307.38,0.05,33.0,0.11,72.63,142.62,1.0,2.0,4.0,8.0,0.14,15.0,18.0,9.0,11.0,21.0,7.14,13.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,1.0,0.0,0.0,3.0,0.2,2.0,4.0,2.0,4.0,5.0,0.0,2.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,12.18,3.0,109.62,0.01,11.0,0.33,6.09,36.54,1.0,0.0,0.0,3.0,0.14,4.0,7.0,4.0,6.0,7.0,0.0,2.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,8.43,5.33,239.85,0.01,13.0,0.19,13.33,44.97,1.0,0.0,0.0,2.0,0.2,4.0,9.0,3.0,8.0,5.0,0.0,3.0,-1.0
0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.13,3.0,0.0,2.0,0.0,8.0,42.86,4.0,-1.0
1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,5.0,1.0,0.0,7.0,0.0,1.0,1.0,43.9,3.64,582.53,0.05,37.0,0.27,32.36,159.91,1.0,0.0,0.0,6.0,0.08,17.0,20.0,14.0,6.0,13.0,30.0,10.0,-1.0
8.0,9.0,2.0,1.0,51.0,14.0,5.0,0.1,6.0,1.0,0.2,21.0,3.0,0.5,49.0,0.0,4.0,0.8,26.48,46.67,57674.24,0.41,245.0,0.02,3204.12,1235.88,0.6,4.0,7.0,18.0,0.04,112.0,133.0,18.0,15.0,113.0,51.49,50.0,-1.0
2.0,5.0,0.0,0.0,11.0,6.0,3.0,0.23,2.0,1.0,0.33,8.0,3.0,1.0,13.0,0.0,2.0,0.67,17.88,10.56,1994.94,0.06,43.0,0.09,110.83,188.87,1.0,2.0,3.0,7.0,0.11,13.0,30.0,8.0,13.0,28.0,45.83,13.0,-1.0
4.0,13.0,3.0,0.0,0.0,24.0,7.0,0.24,12.0,7.0,1.0,27.0,1.0,0.0,29.0,0.0,7.0,1.0,43.49,12.75,7069.6,0.18,113.0,0.08,392.76,554.48,0.14,6.0,12.0,22.0,0.2,51.0,62.0,20.0,10.0,35.0,0.0,29.0,-1.0
2.0,25.0,0.0,16.0,8.0,40.0,13.0,0.19,16.0,1.0,0.08,43.0,9.0,0.67,52.0,0.0,12.0,0.92,22.12,57.0,71859.2,0.42,242.0,0.02,3992.18,1260.69,0.69,12.0,20.0,32.0,0.15,108.0,134.0,18.0,19.0,84.0,31.58,68.0,-1.0
0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.2,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,6.19,2.25,31.35,0.0,6.0,0.44,1.74,13.93,1.0,0.0,0.0,4.0,0.14,3.0,3.0,2.0,3.0,7.0,16.67,5.0,-1.0
3.0,3.0,0.0,2.0,1.0,4.0,2.0,0.29,2.0,1.0,0.5,5.0,1.0,0.0,5.0,0.0,2.0,1.0,10.33,4.5,209.28,0.02,14.0,0.22,11.63,46.51,0.5,1.0,2.0,5.0,0.15,6.0,8.0,4.0,6.0,13.0,37.5,7.0,-1.0
7.0,13.0,5.0,0.0,4.0,30.0,7.0,0.23,14.0,6.0,0.86,29.0,1.0,0.0,31.0,0.0,6.0,0.86,45.95,13.5,8375.28,0.21,120.0,0.07,465.29,620.39,0.14,8.0,15.0,24.0,0.16,54.0,66.0,24.0,12.0,44.0,11.43,31.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.75,1.0,0.0,0.0,2.0,0.5,0.0,3.0,0.0,3.0,2.0,0.0,0.0,-1.0
3.0,3.0,1.0,0.0,4.0,4.0,2.0,0.22,2.0,1.0,0.5,6.0,1.0,0.0,9.0,0.0,2.0,1.0,20.54,4.38,393.13,0.03,23.0,0.23,21.84,89.86,0.5,1.0,2.0,6.0,0.11,10.0,13.0,8.0,7.0,18.0,30.77,9.0,-1.0
6.0,15.0,4.0,0.0,1.0,28.0,8.0,0.18,14.0,8.0,1.0,34.0,1.0,0.0,45.0,0.0,6.0,0.75,50.01,17.42,15175.54,0.29,166.0,0.06,843.09,871.16,0.13,7.0,14.0,28.0,0.15,67.0,99.0,25.0,13.0,54.0,2.17,45.0,-1.0
86.0,35.0,7.0,3.0,87.0,36.0,18.0,0.04,2.0,2.0,0.11,113.0,18.0,1.0,467.0,0.0,2.0,0.11,393.29,28.3,314983.04,3.71,1580.0,0.04,17499.06,11130.14,1.0,17.0,18.0,97.0,0.03,566.0,1014.0,120.0,12.0,645.0,16.16,470.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,8.45,0.75,4.75,0.0,4.0,1.33,0.26,6.34,1.0,0.0,0.0,2.0,0.2,3.0,1.0,2.0,1.0,5.0,0.0,4.0,-1.0
8.0,17.0,5.0,2.0,5.0,32.0,9.0,0.2,16.0,9.0,1.0,37.0,1.0,0.0,42.0,0.0,9.0,1.0,58.62,13.85,11238.62,0.27,157.0,0.07,624.37,811.68,0.11,8.0,16.0,30.0,0.15,72.0,85.0,26.0,10.0,59.0,14.29,44.0,-1.0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,12.0,4.5,243.0,0.02,18.0,0.22,13.5,54.0,1.0,0.0,0.0,2.0,0.11,9.0,9.0,4.0,4.0,9.0,20.0,4.0,-1.0
0.0,7.0,0.0,1.0,16.0,12.0,4.0,0.14,6.0,1.0,0.25,15.0,1.0,0.0,27.0,0.0,1.0,0.25,28.24,16.0,7230.26,0.15,94.0,0.06,401.68,451.89,0.25,3.0,6.0,13.0,0.09,32.0,62.0,14.0,14.0,47.0,38.64,28.0,-1.0
0.0,5.0,0.0,2.0,0.0,6.0,3.0,0.27,2.0,1.0,0.33,8.0,3.0,1.0,9.0,0.0,3.0,1.0,17.56,6.75,800.12,0.04,29.0,0.15,44.45,118.54,1.0,2.0,3.0,7.0,0.2,12.0,17.0,8.0,9.0,15.0,18.18,11.0,-1.0
8.0,25.0,4.0,2.0,12.0,48.0,13.0,0.24,24.0,12.0,0.92,51.0,1.0,0.0,52.0,0.0,12.0,0.92,65.69,15.18,15134.65,0.33,190.0,0.07,840.81,997.11,0.08,12.0,24.0,40.0,0.17,85.0,105.0,28.0,10.0,76.0,21.21,54.0,-1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.07,0.0,1.0,1.0,13.0,1.0,0.0,15.0,0.0,0.0,0.0,50.84,10.29,5378.95,0.17,121.0,0.1,298.83,522.95,1.0,0.0,0.0,14.0,0.06,48.0,73.0,14.0,6.0,18.0,6.25,15.0,-1.0
3.0,3.0,0.0,1.0,0.0,4.0,2.0,0.29,2.0,1.0,0.5,5.0,1.0,0.0,6.0,1.0,2.0,1.0,11.71,4.9,281.06,0.02,16.0,0.2,15.61,57.36,0.5,1.0,2.0,5.0,0.17,7.0,9.0,5.0,7.0,12.0,14.29,7.0,-1.0
3.0,3.0,3.0,0.0,4.0,4.0,2.0,0.11,2.0,2.0,1.0,7.0,1.0,0.0,18.0,0.0,2.0,1.0,26.72,9.82,2575.96,0.09,58.0,0.1,143.11,262.37,0.5,1.0,2.0,7.0,0.07,18.0,40.0,11.0,12.0,27.0,18.18,18.0,-1.0
6.0,41.0,3.0,3.0,0.0,68.0,21.0,0.28,28.0,15.0,0.71,69.0,21.0,1.0,72.0,0.0,21.0,1.0,73.98,24.85,45693.84,0.61,331.0,0.04,2538.55,1838.57,1.0,20.0,34.0,50.0,0.25,130.0,201.0,34.0,13.0,83.0,4.0,75.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,14.99,3.0,134.92,0.01,13.0,0.33,7.5,44.97,1.0,0.0,0.0,3.0,0.25,5.0,8.0,5.0,6.0,4.0,0.0,2.0,-1.0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,1.0,0.5,7.0,1.0,0.0,9.0,1.0,2.0,1.0,13.29,3.75,186.86,0.02,15.0,0.27,10.38,49.83,0.5,1.0,2.0,7.0,0.18,5.0,10.0,4.0,6.0,11.0,0.0,9.0,-1.0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,10.44,3.5,127.89,0.01,11.0,0.29,7.11,36.54,1.0,0.0,0.0,4.0,0.2,3.0,8.0,3.0,7.0,5.0,0.0,2.0,-1.0
189.0,21.0,10.0,1.0,222.0,32.0,11.0,0.01,12.0,7.0,0.64,230.0,6.0,0.5,794.0,0.0,2.0,0.18,607.16,62.62,2380904.39,12.67,4780.0,0.02,132272.48,38021.06,0.55,10.0,16.0,221.0,0.01,1816.0,2964.0,232.0,16.0,1208.0,21.93,795.0,-1.0
1.0,5.0,0.0,0.0,0.0,8.0,3.0,0.25,4.0,1.0,0.33,9.0,1.0,0.0,12.0,0.0,3.0,1.0,17.92,4.0,286.8,0.02,20.0,0.25,15.93,71.7,0.33,2.0,4.0,8.0,0.18,8.0,12.0,6.0,6.0,17.0,0.0,12.0,-1.0
