n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,l
0.0,3.0,3.0,0.0,0.0,6.0,2.0,0.5,2.0,3.0,2.0,1.0,9.0,1.0,0.0,4.0,1.0,2.0,1.0,19.99,5.33,568.57,0.04,28.0,0.19,31.59,106.61,0.5,2.0,3.0,9.0,0.4,8.0,20.0,6.0,8.0,5.0,0.0,4.0,-1.0
3.0,5.0,9.0,0.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,22.0,1.0,0.0,21.0,2.0,3.0,1.0,45.77,15.0,10297.93,0.23,129.0,0.07,572.11,686.53,0.33,2.0,4.0,21.0,0.12,50.0,79.0,25.0,15.0,25.0,0.0,21.0,-1.0
15.0,19.0,14.0,1.0,8.0,34.0,10.0,0.15,16.0,2.13,9.0,0.9,70.0,4.0,0.33,64.0,2.0,7.0,0.7,59.77,42.39,107406.67,0.84,412.0,0.02,5967.04,2533.7,0.4,9.0,17.0,62.0,0.11,156.0,256.0,46.0,25.0,89.0,12.33,65.0,-1.0
0.0,3.0,10.0,0.0,0.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,26.0,1.0,0.0,19.0,0.0,2.0,1.0,48.56,17.22,14395.0,0.28,163.0,0.06,799.72,836.07,0.5,1.0,2.0,26.0,0.1,66.0,97.0,23.0,12.0,20.0,0.0,19.0,-1.0
6.0,9.0,10.0,0.0,2.0,14.0,5.0,0.21,6.0,2.33,5.0,1.0,34.0,4.0,0.75,24.0,1.0,3.0,0.6,47.78,23.7,26838.69,0.38,195.0,0.04,1491.04,1132.43,0.8,4.0,7.0,31.0,0.15,79.0,116.0,35.0,21.0,33.0,7.69,24.0,-1.0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,2.0,2.0,1.0,16.32,4.67,355.35,0.03,20.0,0.21,19.74,76.15,0.5,1.0,2.0,9.0,0.4,7.0,13.0,6.0,8.0,5.0,0.0,4.0,-1.0
6.0,13.0,10.0,0.0,4.0,22.0,7.0,0.3,10.0,2.2,7.0,1.0,52.0,3.0,0.33,23.0,2.0,7.0,1.0,50.81,21.22,22872.08,0.36,192.0,0.05,1270.67,1078.02,0.43,6.0,11.0,47.0,0.2,67.0,125.0,30.0,19.0,35.0,14.81,23.0,-1.0
6.0,18.0,17.0,0.0,1.0,28.0,10.0,0.15,14.0,2.0,9.0,0.9,68.0,1.0,0.0,67.0,0.0,7.0,0.7,65.16,27.99,51033.62,0.61,314.0,0.04,2835.2,1823.51,0.1,7.0,14.0,60.0,0.13,109.0,205.0,37.0,19.0,75.0,1.47,67.0,-1.0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,9.0,1.0,2.0,1.0,17.88,9.33,1557.81,0.06,38.0,0.11,86.54,166.91,0.5,1.0,2.0,8.0,0.2,14.0,24.0,9.0,12.0,10.0,0.0,9.0,-1.0
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,0.0,2.0,1.0,28.73,7.92,1800.5,0.08,51.0,0.13,100.03,227.43,0.5,1.0,2.0,9.0,0.22,19.0,32.0,12.0,10.0,9.0,0.0,8.0,-1.0
14.0,11.0,15.0,0.0,0.0,8.0,7.0,0.12,4.0,2.0,5.0,0.71,44.0,4.0,0.5,58.0,2.0,4.0,0.57,104.52,18.11,34291.94,0.63,311.0,0.06,1905.11,1893.2,0.57,2.0,4.0,39.0,0.1,128.0,183.0,53.0,15.0,73.0,0.0,58.0,-1.0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,2.0,2.0,1.0,18.99,5.14,502.31,0.03,25.0,0.19,27.91,97.67,0.5,1.0,2.0,9.0,0.33,9.0,16.0,7.0,8.0,6.0,0.0,4.0,-1.0
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,9.0,1.0,0.0,9.0,2.0,2.0,1.0,18.62,14.88,4118.96,0.09,57.0,0.07,228.83,276.9,0.5,1.0,2.0,9.0,0.18,21.0,36.0,12.0,17.0,11.0,0.0,9.0,-1.0
3.0,5.0,7.0,1.0,2.0,8.0,3.0,0.18,4.0,2.0,1.0,0.33,18.0,1.0,0.0,16.0,0.0,3.0,1.0,44.98,14.69,9703.67,0.22,125.0,0.07,539.09,660.68,0.33,2.0,4.0,17.0,0.12,47.0,78.0,24.0,15.0,25.0,15.79,17.0,-1.0
1.0,13.0,10.0,0.0,0.0,24.0,7.0,0.32,12.0,2.0,7.0,1.0,40.0,1.0,0.0,22.0,3.0,7.0,1.0,54.54,15.58,13243.53,0.28,153.0,0.06,735.75,849.85,0.14,6.0,12.0,35.0,0.28,55.0,98.0,30.0,17.0,25.0,0.0,22.0,-1.0
20.0,25.0,29.0,2.0,18.0,36.0,14.0,0.13,18.0,2.0,9.0,0.64,102.0,5.0,0.31,102.0,0.0,12.0,0.86,163.29,25.13,103097.32,1.37,590.0,0.04,5727.63,4102.97,0.36,9.0,18.0,90.0,0.1,233.0,357.0,102.0,22.0,144.0,16.39,104.0,-1.0
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.31,6.0,2.0,4.0,1.0,16.0,1.0,0.0,13.0,0.0,4.0,1.0,16.11,13.71,3029.38,0.07,52.0,0.07,168.3,220.89,0.25,3.0,6.0,14.0,0.27,16.0,36.0,7.0,12.0,15.0,0.0,13.0,-1.0
7.0,12.0,7.0,0.0,3.0,4.0,8.0,0.17,2.0,2.0,6.0,0.75,44.0,1.0,0.0,48.0,0.0,6.0,0.75,63.66,24.16,37151.02,0.51,266.0,0.04,2063.94,1537.84,0.13,1.0,2.0,38.0,0.13,108.0,158.0,38.0,17.0,60.0,5.88,48.0,-1.0
6.0,40.0,27.0,1.0,13.0,66.0,21.0,0.31,30.0,2.2,19.0,0.9,122.0,9.0,0.4,66.0,3.0,16.0,0.76,88.04,36.99,120439.45,1.09,487.0,0.03,6691.08,3256.33,0.43,18.0,33.0,103.0,0.24,180.0,307.0,73.0,30.0,88.0,17.5,67.0,-1.0
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.25,4.0,2.0,3.0,1.0,13.0,1.0,0.0,12.0,1.0,3.0,1.0,26.16,9.23,2229.05,0.08,52.0,0.11,123.84,241.48,0.33,2.0,4.0,12.0,0.21,20.0,32.0,13.0,12.0,14.0,0.0,12.0,-1.0
1.0,6.0,11.0,0.0,0.0,4.0,4.0,0.2,2.0,2.0,3.0,0.75,25.0,1.0,0.0,20.0,1.0,3.0,0.75,48.84,14.22,9878.21,0.23,128.0,0.07,548.79,694.56,0.25,1.0,2.0,23.0,0.18,48.0,80.0,27.0,16.0,22.0,0.0,20.0,-1.0
0.0,3.0,8.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,16.0,1.0,0.0,11.0,0.0,2.0,1.0,36.54,9.29,3150.52,0.11,74.0,0.11,175.03,339.29,0.5,1.0,2.0,16.0,0.17,26.0,48.0,14.0,10.0,12.0,0.0,11.0,-1.0
2.0,12.0,5.0,0.0,1.0,14.0,7.0,0.33,6.0,2.33,6.0,0.86,29.0,3.0,0.33,21.0,0.0,7.0,1.0,28.85,17.34,8678.36,0.17,101.0,0.06,482.13,500.37,0.43,4.0,7.0,24.0,0.28,37.0,64.0,16.0,15.0,25.0,4.55,21.0,-1.0
0.0,7.0,6.0,0.0,0.0,12.0,4.0,0.21,6.0,2.0,3.0,0.75,22.0,1.0,0.0,19.0,2.0,1.0,0.25,28.87,14.62,6175.54,0.14,83.0,0.07,343.09,422.26,0.25,3.0,6.0,20.0,0.19,26.0,57.0,16.0,18.0,21.0,0.0,19.0,-1.0
5.0,11.0,11.0,0.0,5.0,20.0,6.0,0.21,10.0,2.0,6.0,1.0,38.0,1.0,0.0,28.0,1.0,4.0,0.67,44.43,18.41,15056.5,0.27,157.0,0.05,836.47,817.88,0.17,5.0,10.0,34.0,0.15,54.0,103.0,22.0,15.0,39.0,15.15,28.0,-1.0
5.0,18.0,15.0,0.0,0.0,26.0,10.0,0.19,12.0,2.17,10.0,1.0,65.0,5.0,0.44,52.0,0.0,9.0,0.9,80.76,27.14,59492.48,0.73,353.0,0.04,3305.14,2191.94,0.5,7.0,13.0,57.0,0.17,137.0,216.0,53.0,21.0,59.0,0.0,52.0,-1.0
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.15,2.0,2.0,2.0,1.0,10.0,1.0,0.0,13.0,2.0,2.0,1.0,25.59,14.0,5014.84,0.12,73.0,0.07,278.6,358.2,0.5,1.0,2.0,10.0,0.13,28.0,45.0,15.0,15.0,15.0,0.0,13.0,-1.0
0.0,3.0,5.0,0.0,5.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,12.0,1.0,0.0,18.0,1.0,2.0,1.0,24.85,16.5,6765.0,0.14,82.0,0.06,375.83,410.0,0.5,1.0,2.0,12.0,0.08,33.0,49.0,16.0,16.0,24.0,21.74,18.0,-1.0
9.0,3.0,9.0,0.0,4.0,4.0,2.0,0.1,2.0,2.0,2.0,1.0,22.0,1.0,0.0,21.0,0.0,1.0,0.5,71.77,11.08,8806.58,0.27,155.0,0.09,489.25,795.04,0.5,1.0,2.0,22.0,0.06,64.0,91.0,26.0,9.0,35.0,16.0,21.0,-1.0
9.0,34.0,28.0,1.0,27.0,56.0,18.0,0.22,26.0,2.15,15.0,0.83,116.0,10.0,0.53,81.0,3.0,16.0,0.89,93.63,43.69,178710.34,1.36,608.0,0.02,9928.35,4090.58,0.56,15.0,28.0,100.0,0.15,232.0,376.0,77.0,29.0,121.0,25.69,82.0,-1.0
2.0,7.0,7.0,0.0,0.0,12.0,4.0,0.18,6.0,2.0,4.0,1.0,23.0,3.0,0.67,22.0,1.0,3.0,0.75,28.83,15.47,6896.24,0.15,90.0,0.06,383.12,445.88,0.75,3.0,6.0,21.0,0.16,29.0,61.0,15.0,16.0,25.0,0.0,22.0,-1.0
7.0,12.0,16.0,1.0,0.0,16.0,7.0,0.19,8.0,2.0,6.0,0.86,47.0,1.0,0.0,35.0,0.0,6.0,0.86,67.77,18.76,23842.81,0.42,217.0,0.05,1324.6,1271.18,0.14,4.0,8.0,42.0,0.16,77.0,140.0,39.0,19.0,44.0,2.78,36.0,-1.0
3.0,15.0,9.0,1.0,4.0,4.0,10.0,0.23,2.0,2.0,8.0,0.8,45.0,1.0,0.0,42.0,0.0,7.0,0.7,58.91,16.11,15290.22,0.32,176.0,0.06,849.46,949.05,0.1,1.0,2.0,37.0,0.19,58.0,118.0,27.0,15.0,52.0,10.64,43.0,-1.0
16.0,32.0,32.0,1.0,12.0,36.0,19.0,0.16,18.0,2.0,16.0,0.84,141.0,4.0,0.17,121.0,0.0,16.0,0.84,167.64,36.55,223888.39,2.04,867.0,0.03,12438.24,6126.3,0.21,9.0,18.0,124.0,0.12,335.0,532.0,110.0,24.0,153.0,9.7,122.0,-1.0
12.0,15.0,20.0,0.0,16.0,16.0,9.0,0.15,8.0,2.0,9.0,1.0,61.0,1.0,0.0,61.0,0.0,9.0,1.0,90.69,22.53,46024.85,0.68,327.0,0.04,2556.94,2043.07,0.11,4.0,8.0,54.0,0.1,118.0,209.0,55.0,21.0,91.0,20.78,61.0,-1.0
3.0,10.0,7.0,0.0,2.0,12.0,6.0,0.26,6.0,2.0,6.0,1.0,31.0,1.0,0.0,23.0,0.0,6.0,1.0,38.97,10.97,4689.17,0.14,88.0,0.09,260.51,427.5,0.17,3.0,6.0,27.0,0.21,27.0,61.0,16.0,13.0,29.0,8.0,23.0,-1.0
2.0,13.0,7.0,0.0,0.0,12.0,8.0,0.22,6.0,2.0,6.0,0.75,41.0,3.0,0.29,36.0,1.0,7.0,0.88,46.09,20.67,19687.59,0.32,179.0,0.05,1093.75,952.63,0.38,3.0,6.0,35.0,0.2,62.0,117.0,24.0,16.0,40.0,0.0,36.0,-1.0
2.0,3.0,5.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,12.0,1.0,0.0,10.0,1.0,1.0,0.5,31.89,8.53,2320.9,0.09,56.0,0.12,128.94,272.05,0.5,1.0,2.0,12.0,0.15,21.0,35.0,16.0,13.0,13.0,0.0,10.0,-1.0
4.0,11.0,6.0,0.0,15.0,18.0,6.0,0.24,8.0,2.25,4.0,0.67,27.0,1.0,0.0,25.0,2.0,6.0,1.0,24.1,24.7,14702.26,0.2,117.0,0.04,816.79,595.23,0.17,5.0,9.0,23.0,0.13,39.0,78.0,15.0,19.0,45.0,37.5,25.0,-1.0
4.0,9.0,5.0,0.0,1.0,14.0,5.0,0.31,6.0,2.33,4.0,0.8,26.0,3.0,0.5,16.0,0.0,5.0,1.0,22.8,17.0,6589.95,0.13,79.0,0.06,366.11,387.64,0.6,4.0,7.0,23.0,0.22,26.0,53.0,13.0,17.0,23.0,5.88,16.0,-1.0
12.0,14.0,22.0,0.0,1.0,10.0,9.0,0.14,4.0,2.5,7.0,0.78,68.0,4.0,0.38,66.0,0.0,6.0,0.67,116.42,23.48,64177.21,0.91,418.0,0.04,3565.4,2733.37,0.44,3.0,5.0,61.0,0.11,161.0,257.0,72.0,21.0,81.0,1.49,66.0,-1.0
2.0,8.0,6.0,0.0,0.0,8.0,5.0,0.2,4.0,2.0,4.0,0.8,29.0,1.0,0.0,25.0,1.0,4.0,0.8,42.86,17.68,13404.49,0.25,153.0,0.06,744.69,757.99,0.2,2.0,4.0,26.0,0.18,56.0,97.0,19.0,12.0,28.0,0.0,25.0,-1.0
0.0,5.0,4.0,0.0,0.0,8.0,3.0,0.33,4.0,2.0,3.0,1.0,16.0,1.0,0.0,9.0,1.0,1.0,0.33,32.94,6.95,1593.02,0.08,53.0,0.14,88.5,229.06,0.33,2.0,4.0,15.0,0.3,17.0,36.0,11.0,9.0,10.0,0.0,9.0,-1.0
5.0,11.0,7.0,0.0,0.0,20.0,6.0,0.27,10.0,2.0,5.0,0.83,32.0,1.0,0.0,22.0,2.0,4.0,0.67,39.49,17.0,11411.18,0.22,127.0,0.06,633.95,671.25,0.17,5.0,10.0,28.0,0.21,44.0,83.0,22.0,17.0,28.0,0.0,22.0,-1.0
1.0,3.0,5.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,3.0,2.0,1.0,29.06,11.2,3645.43,0.11,67.0,0.09,202.52,325.48,0.5,1.0,2.0,12.0,0.17,24.0,43.0,15.0,14.0,12.0,10.0,9.0,-1.0
3.0,11.0,6.0,0.0,0.0,20.0,6.0,0.24,10.0,2.0,6.0,1.0,35.0,1.0,0.0,25.0,1.0,6.0,1.0,30.2,25.0,18875.0,0.25,151.0,0.04,1048.61,755.0,0.17,5.0,10.0,31.0,0.21,50.0,101.0,16.0,16.0,29.0,0.0,25.0,-1.0
0.0,7.0,2.0,0.0,0.0,4.0,5.0,0.22,2.0,2.0,4.0,0.8,19.0,3.0,0.5,23.0,0.0,4.0,0.8,29.4,14.39,6090.84,0.14,89.0,0.07,338.38,423.18,0.6,1.0,2.0,16.0,0.21,31.0,58.0,14.0,13.0,24.0,0.0,23.0,-1.0
0.0,3.0,7.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,14.0,1.0,0.0,12.0,1.0,1.0,0.5,41.57,8.24,2819.37,0.11,72.0,0.12,156.63,342.35,0.5,1.0,2.0,14.0,0.15,28.0,44.0,17.0,10.0,13.0,0.0,12.0,-1.0
3.0,5.0,3.0,0.0,1.0,6.0,3.0,0.27,2.0,3.0,2.0,0.67,13.0,3.0,1.0,11.0,1.0,1.0,0.33,29.72,13.6,5496.65,0.13,85.0,0.07,305.37,404.17,1.0,2.0,3.0,12.0,0.19,34.0,51.0,15.0,12.0,16.0,8.33,11.0,-1.0
2.0,9.0,12.0,0.0,4.0,8.0,6.0,0.18,4.0,2.0,6.0,1.0,34.0,3.0,0.4,33.0,1.0,4.0,0.67,64.58,19.75,25188.5,0.43,211.0,0.05,1399.36,1275.37,0.5,2.0,4.0,30.0,0.15,79.0,132.0,44.0,22.0,40.0,10.81,33.0,-1.0
5.0,19.0,24.0,0.0,0.0,24.0,11.0,0.15,12.0,2.0,11.0,1.0,81.0,7.0,0.6,71.0,0.0,10.0,0.91,122.92,19.86,48468.15,0.81,385.0,0.05,2692.68,2440.84,0.64,6.0,12.0,72.0,0.14,139.0,246.0,63.0,18.0,78.0,0.0,71.0,-1.0
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,8.0,1.0,0.0,8.0,2.0,2.0,1.0,16.2,8.75,1240.55,0.05,34.0,0.11,68.92,141.78,0.5,1.0,2.0,8.0,0.2,14.0,20.0,8.0,10.0,10.0,0.0,8.0,-1.0
4.0,9.0,5.0,0.0,0.0,16.0,5.0,0.25,8.0,2.0,5.0,1.0,34.0,4.0,0.75,20.0,1.0,5.0,1.0,41.69,12.35,6361.1,0.17,106.0,0.08,353.39,514.95,0.8,4.0,8.0,31.0,0.19,35.0,71.0,17.0,12.0,26.0,0.0,20.0,-1.0
0.0,5.0,2.0,0.0,0.0,6.0,3.0,0.3,2.0,3.0,2.0,0.67,12.0,3.0,1.0,10.0,3.0,3.0,1.0,19.09,17.86,6086.79,0.11,67.0,0.06,338.15,340.86,1.0,2.0,3.0,11.0,0.25,25.0,42.0,14.0,20.0,12.0,0.0,10.0,-1.0
2.0,11.0,10.0,0.0,1.0,12.0,7.0,0.2,6.0,2.0,6.0,0.86,38.0,1.0,0.0,35.0,0.0,5.0,0.71,55.65,17.14,16352.99,0.32,165.0,0.06,908.5,953.92,0.14,3.0,6.0,33.0,0.18,60.0,105.0,35.0,20.0,39.0,2.78,35.0,-1.0
9.0,18.0,10.0,0.0,1.0,4.0,12.0,0.16,2.0,2.0,10.0,0.83,67.0,1.0,0.0,73.0,0.0,10.0,0.83,96.22,23.35,52445.24,0.75,373.0,0.04,2913.62,2246.34,0.08,1.0,2.0,57.0,0.14,143.0,230.0,49.0,16.0,85.0,1.35,73.0,-1.0
0.0,3.0,6.0,0.0,0.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,12.0,1.0,0.0,16.0,2.0,2.0,1.0,27.13,15.06,6152.97,0.14,81.0,0.07,341.83,408.6,0.5,1.0,2.0,12.0,0.12,32.0,49.0,17.0,16.0,17.0,0.0,16.0,-1.0
13.0,12.0,14.0,0.0,4.0,4.0,8.0,0.15,2.0,2.0,8.0,1.0,46.0,1.0,0.0,54.0,0.0,8.0,1.0,90.48,17.04,26283.38,0.51,259.0,0.06,1460.19,1542.14,0.13,1.0,2.0,40.0,0.11,98.0,161.0,46.0,16.0,73.0,6.9,54.0,-1.0
1.0,6.0,5.0,0.0,1.0,4.0,4.0,0.27,2.0,2.0,2.0,0.5,16.0,1.0,0.0,15.0,0.0,2.0,0.5,37.99,9.39,3349.04,0.12,72.0,0.11,186.06,356.7,0.25,1.0,2.0,14.0,0.21,26.0,46.0,18.0,13.0,19.0,6.25,15.0,-1.0
7.0,12.0,8.0,0.0,2.0,4.0,8.0,0.16,2.0,2.0,6.0,0.75,45.0,1.0,0.0,51.0,0.0,6.0,0.75,67.6,24.64,41048.67,0.56,282.0,0.04,2280.48,1665.74,0.13,1.0,2.0,39.0,0.13,115.0,167.0,42.0,18.0,61.0,3.77,51.0,-1.0
1.0,8.0,5.0,0.0,0.0,8.0,5.0,0.21,4.0,2.0,4.0,0.8,22.0,1.0,0.0,24.0,1.0,4.0,0.8,43.9,12.52,6882.97,0.18,104.0,0.08,382.39,549.68,0.2,2.0,4.0,19.0,0.19,36.0,68.0,23.0,16.0,26.0,0.0,24.0,-1.0
0.0,3.0,5.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,0.0,1.0,0.5,20.53,8.13,1355.23,0.06,40.0,0.12,75.29,166.8,0.5,1.0,2.0,12.0,0.2,13.0,27.0,8.0,10.0,10.0,0.0,9.0,-1.0
0.0,7.0,5.0,0.0,0.0,10.0,4.0,0.29,4.0,2.5,2.0,0.5,19.0,3.0,0.67,14.0,1.0,2.0,0.5,31.35,9.97,3114.36,0.1,65.0,0.1,173.02,312.48,0.75,3.0,5.0,17.0,0.27,23.0,42.0,15.0,13.0,15.0,0.0,14.0,-1.0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,0.0,2.0,1.0,19.29,6.72,871.59,0.04,30.0,0.15,48.42,129.66,0.5,1.0,2.0,9.0,0.33,11.0,19.0,9.0,11.0,6.0,0.0,4.0,-1.0
0.0,5.0,3.0,0.0,0.0,8.0,3.0,0.17,4.0,2.0,2.0,0.67,13.0,3.0,1.0,18.0,1.0,2.0,0.67,24.12,18.56,8310.37,0.15,88.0,0.05,461.69,447.7,1.0,2.0,4.0,12.0,0.16,33.0,55.0,16.0,18.0,19.0,0.0,18.0,-1.0
1.0,3.0,4.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,9.0,1.0,0.0,9.0,1.0,2.0,1.0,16.47,13.0,2782.69,0.07,48.0,0.08,154.59,214.05,0.5,1.0,2.0,9.0,0.18,18.0,30.0,9.0,13.0,11.0,0.0,9.0,-1.0
5.0,11.0,8.0,0.0,1.0,18.0,6.0,0.3,8.0,2.25,6.0,1.0,41.0,5.0,0.8,20.0,2.0,6.0,1.0,46.13,20.69,19748.29,0.32,170.0,0.05,1097.13,954.5,0.83,5.0,9.0,37.0,0.21,60.0,110.0,29.0,20.0,28.0,4.76,20.0,-1.0
1.0,5.0,5.0,0.0,0.0,8.0,3.0,0.33,4.0,2.0,3.0,1.0,16.0,3.0,1.0,9.0,1.0,3.0,1.0,27.86,8.67,2092.83,0.08,52.0,0.12,116.27,241.48,1.0,2.0,4.0,15.0,0.27,16.0,36.0,12.0,13.0,11.0,0.0,9.0,-1.0
5.0,11.0,6.0,0.0,0.0,18.0,6.0,0.26,8.0,2.25,4.0,0.67,27.0,1.0,0.0,23.0,2.0,6.0,1.0,22.86,24.7,13948.3,0.19,111.0,0.04,774.91,564.71,0.17,5.0,9.0,23.0,0.21,39.0,72.0,15.0,19.0,29.0,0.0,23.0,-1.0
6.0,6.0,7.0,0.0,1.0,4.0,4.0,0.19,2.0,2.0,4.0,1.0,21.0,1.0,0.0,21.0,0.0,4.0,1.0,46.32,15.11,10577.6,0.23,129.0,0.07,587.64,699.99,0.25,1.0,2.0,19.0,0.14,51.0,78.0,27.0,16.0,29.0,4.55,21.0,-1.0
0.0,6.0,3.0,0.0,0.0,4.0,4.0,0.31,2.0,2.0,3.0,0.75,14.0,1.0,0.0,13.0,0.0,2.0,0.5,21.05,11.25,2664.41,0.08,51.0,0.09,148.02,236.84,0.25,1.0,2.0,12.0,0.29,15.0,36.0,10.0,15.0,14.0,0.0,13.0,-1.0
2.0,5.0,7.0,0.0,0.0,8.0,3.0,0.2,4.0,2.0,3.0,1.0,18.0,1.0,0.0,15.0,1.0,3.0,1.0,40.99,14.0,8034.06,0.19,111.0,0.07,446.34,573.86,0.33,2.0,4.0,17.0,0.17,44.0,67.0,22.0,14.0,18.0,0.0,15.0,-1.0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,1.0,1.0,0.5,18.67,7.71,1110.86,0.05,36.0,0.13,61.71,144.0,0.5,1.0,2.0,9.0,0.2,12.0,24.0,7.0,9.0,10.0,0.0,8.0,-1.0
0.0,3.0,7.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,16.0,1.0,0.0,12.0,0.0,2.0,1.0,31.49,14.0,6172.93,0.15,89.0,0.07,342.94,440.92,0.5,1.0,2.0,16.0,0.15,34.0,55.0,17.0,14.0,13.0,0.0,12.0,-1.0
