n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,l
5.0,5.0,3.0,14.0,2.0,8.0,3.0,0.14,4.0,2.0,0.67,12.0,1.0,0.0,8.0,0.0,3.0,1.0,42.23,8.64,3154.64,0.12,73.0,0.12,175.26,365.0,0.33,2.0,4.0,11.0,0.1,33.0,40.0,21.0,11.0,31.0,66.67,22.0,-1.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.13,0.0,1.0,1.0,2.0,1.0,0.0,8.0,0.0,1.0,1.0,58.17,1.64,155.76,0.03,25.0,0.61,8.65,95.18,1.0,0.0,0.0,3.0,0.1,12.0,13.0,11.0,3.0,10.0,0.0,8.0,-1.0
11.0,53.0,18.0,9.0,14.0,92.0,27.0,0.2,40.0,27.0,1.0,123.0,11.0,0.38,127.0,3.0,20.0,0.74,121.76,24.32,72041.28,0.99,454.0,0.04,4002.29,2961.7,0.41,26.0,54.0,98.0,0.16,200.0,254.0,74.0,18.0,166.0,15.33,136.0,-1.0
3.0,9.0,2.0,1.0,2.0,16.0,5.0,0.18,8.0,2.0,0.4,20.0,1.0,0.0,27.0,0.0,1.0,0.2,28.36,10.15,2923.49,0.1,62.0,0.1,162.42,287.92,0.2,4.0,8.0,17.0,0.14,22.0,40.0,13.0,12.0,35.0,10.0,28.0,-1.0
1.0,9.0,0.0,2.0,1.0,0.0,8.0,0.28,0.0,1.0,0.13,18.0,1.0,0.0,27.0,0.0,1.0,0.13,34.09,9.88,3329.22,0.11,68.0,0.1,184.96,336.89,0.13,0.0,0.0,12.0,0.24,24.0,44.0,17.0,14.0,33.0,10.0,29.0,-1.0
1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,15.85,2.0,63.4,0.01,10.0,0.5,3.52,31.7,1.0,0.0,0.0,5.0,0.13,5.0,5.0,5.0,4.0,8.0,20.0,4.0,-1.0
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.01,0.0,1.0,0.0,1.0,67.0,0.0,1.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
1.0,7.0,1.0,1.0,1.0,10.0,4.0,0.33,4.0,1.0,0.25,12.0,3.0,0.67,11.0,0.0,0.0,0.0,20.37,7.0,998.37,0.05,33.0,0.14,55.46,142.62,0.75,3.0,5.0,10.0,0.25,14.0,19.0,10.0,10.0,16.0,15.38,12.0,-1.0
9.0,49.0,6.0,9.0,52.0,76.0,25.0,0.36,28.0,13.0,0.52,100.0,6.0,0.21,61.0,1.0,15.0,0.6,18.7,91.25,155679.37,0.57,330.0,0.01,8648.85,1706.08,0.24,24.0,38.0,77.0,0.19,146.0,184.0,16.0,20.0,133.0,50.0,70.0,-1.0
10.0,9.0,10.0,3.0,35.0,16.0,5.0,0.13,8.0,4.0,0.8,29.0,1.0,0.0,36.0,0.0,2.0,0.4,34.2,13.54,6269.41,0.15,101.0,0.07,348.3,463.08,0.2,4.0,8.0,26.0,0.06,32.0,69.0,13.0,11.0,86.0,51.35,39.0,-1.0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,7.0,1.0,0.0,12.0,0.0,2.0,1.0,28.99,6.92,1389.28,0.07,45.0,0.14,77.18,200.67,0.5,1.0,2.0,7.0,0.13,20.0,25.0,13.0,9.0,16.0,0.0,12.0,-1.0
4.0,13.0,3.0,0.0,0.0,24.0,7.0,0.24,12.0,7.0,1.0,27.0,1.0,0.0,29.0,0.0,7.0,1.0,43.49,12.75,7069.6,0.18,113.0,0.08,392.76,554.48,0.14,6.0,12.0,22.0,0.2,51.0,62.0,20.0,10.0,35.0,0.0,29.0,-1.0
14.0,19.0,5.0,8.0,15.0,36.0,1.0,0.01,18.0,1.0,1.0,54.0,1.0,0.0,62.0,0.0,1.0,1.0,59.96,20.52,25237.81,0.41,224.0,0.05,1402.1,1230.18,1.0,9.0,18.0,46.0,0.01,101.0,123.0,32.0,13.0,102.0,27.06,70.0,-1.0
0.0,3.0,2.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,1.0,6.0,1.0,0.0,11.0,0.0,2.0,1.0,16.0,9.0,1296.0,0.05,36.0,0.11,72.0,144.0,0.5,1.0,2.0,6.0,0.15,14.0,22.0,7.0,9.0,13.0,0.0,11.0,-1.0
0.0,9.0,0.0,11.0,7.0,16.0,5.0,0.17,8.0,1.0,0.2,18.0,1.0,0.0,18.0,0.0,5.0,1.0,30.19,11.08,3704.76,0.11,75.0,0.09,205.82,334.46,0.2,4.0,8.0,15.0,0.12,32.0,43.0,13.0,9.0,43.0,50.0,29.0,-1.0
7.0,11.0,5.0,3.0,0.0,20.0,6.0,0.21,10.0,5.0,0.83,26.0,1.0,0.0,25.0,0.0,6.0,1.0,22.53,15.4,5343.69,0.12,79.0,0.06,296.87,346.99,0.17,5.0,10.0,22.0,0.16,28.0,51.0,10.0,11.0,37.0,10.71,28.0,-1.0
65.0,49.0,17.0,15.0,89.0,82.0,25.0,0.03,34.0,16.0,0.64,222.0,12.0,0.46,813.0,0.0,9.0,0.36,350.88,71.88,1812966.04,8.41,3404.0,0.01,100720.34,25221.57,0.48,24.0,41.0,199.0,0.03,1214.0,2190.0,152.0,18.0,984.0,11.34,828.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,53.15,1.0,53.15,0.02,16.0,1.0,2.95,53.15,1.0,0.0,0.0,3.0,0.14,8.0,8.0,8.0,2.0,7.0,0.0,5.0,-1.0
10.0,7.0,7.0,0.0,13.0,8.0,4.0,0.17,2.0,4.0,1.0,29.0,4.0,1.0,23.0,0.0,4.0,1.0,41.58,21.64,19463.36,0.3,174.0,0.05,1081.3,899.57,1.0,3.0,4.0,27.0,0.08,68.0,106.0,22.0,14.0,51.0,36.11,23.0,-1.0
0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,7.24,2.5,45.24,0.01,7.0,0.4,2.51,18.09,1.0,0.0,0.0,4.0,0.2,1.0,6.0,1.0,5.0,5.0,33.33,2.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,7.92,1.0,7.92,0.0,5.0,1.0,0.44,7.92,1.0,0.0,0.0,2.0,0.14,4.0,1.0,2.0,1.0,7.0,0.0,6.0,-1.0
8.0,17.0,5.0,2.0,5.0,32.0,9.0,0.2,16.0,9.0,1.0,37.0,1.0,0.0,42.0,0.0,9.0,1.0,58.62,13.85,11238.62,0.27,157.0,0.07,624.37,811.68,0.11,8.0,16.0,30.0,0.15,72.0,85.0,26.0,10.0,59.0,14.29,44.0,-1.0
28.0,39.0,4.0,5.0,33.0,64.0,20.0,0.17,26.0,10.0,0.5,70.0,9.0,0.42,112.0,0.0,15.0,0.75,91.39,34.0,105646.44,1.04,460.0,0.03,5869.25,3107.25,0.45,19.0,35.0,52.0,0.11,238.0,222.0,84.0,24.0,180.0,25.33,117.0,-1.0
0.0,11.0,1.0,0.0,1.0,16.0,6.0,0.32,6.0,2.0,0.33,18.0,5.0,0.8,19.0,0.0,6.0,1.0,28.18,15.47,6743.9,0.15,88.0,0.06,374.66,435.97,0.83,5.0,8.0,14.0,0.23,33.0,55.0,16.0,15.0,26.0,5.0,19.0,-1.0
2.0,7.0,0.0,1.0,1.0,10.0,4.0,0.29,4.0,1.0,0.25,11.0,3.0,0.67,13.0,0.0,4.0,1.0,18.91,10.45,2065.48,0.07,45.0,0.1,114.75,197.65,0.75,3.0,5.0,9.0,0.2,19.0,26.0,10.0,11.0,20.0,13.33,14.0,-1.0
1.0,3.0,1.0,0.0,1.0,4.0,2.0,0.2,2.0,1.0,0.5,7.0,1.0,0.0,10.0,0.0,2.0,1.0,9.08,7.5,510.86,0.02,19.0,0.13,28.38,68.11,0.5,1.0,2.0,7.0,0.14,5.0,14.0,3.0,9.0,14.0,9.09,10.0,-1.0
5.0,7.0,4.0,0.0,6.0,10.0,4.0,0.17,4.0,2.0,0.5,17.0,3.0,0.67,23.0,0.0,3.0,0.75,28.62,10.8,3337.93,0.1,65.0,0.09,185.44,309.07,0.75,3.0,5.0,15.0,0.11,27.0,38.0,15.0,12.0,36.0,20.69,23.0,-1.0
5.0,13.0,2.0,0.0,2.0,18.0,7.0,0.13,6.0,4.0,0.57,20.0,5.0,0.67,53.0,0.0,7.0,1.0,49.71,24.17,29043.67,0.4,214.0,0.04,1613.54,1201.55,0.71,6.0,9.0,15.0,0.11,91.0,123.0,32.0,17.0,66.0,3.64,53.0,-1.0
15.0,1.0,2.0,2.0,25.0,0.0,1.0,0.04,0.0,1.0,1.0,3.0,1.0,0.0,22.0,0.0,0.0,0.0,64.59,9.82,6226.07,0.21,128.0,0.1,345.89,634.14,1.0,0.0,0.0,4.0,0.02,48.0,80.0,22.0,9.0,66.0,55.1,24.0,-1.0
3.0,11.0,1.0,0.0,0.0,16.0,6.0,0.33,6.0,1.0,0.17,23.0,6.0,1.0,18.0,0.0,6.0,1.0,34.6,17.18,10215.3,0.2,115.0,0.06,567.52,594.54,1.0,5.0,8.0,19.0,0.26,54.0,61.0,22.0,14.0,23.0,0.0,18.0,-1.0
10.0,67.0,11.0,0.0,2.0,132.0,34.0,0.18,66.0,2.0,0.06,166.0,1.0,0.0,191.0,0.0,34.0,1.0,157.26,22.18,77379.02,1.16,555.0,0.05,4298.83,3488.4,0.03,33.0,66.0,134.0,0.17,244.0,311.0,66.0,12.0,205.0,1.04,191.0,-1.0
4.0,3.0,2.0,1.0,1.0,4.0,2.0,0.18,2.0,2.0,1.0,6.0,1.0,0.0,10.0,0.0,2.0,1.0,11.6,10.0,1160.0,0.04,29.0,0.1,64.44,116.0,0.5,1.0,2.0,6.0,0.11,12.0,17.0,6.0,10.0,19.0,16.67,11.0,-1.0
4.0,15.0,5.0,3.0,2.0,22.0,8.0,0.17,10.0,6.0,0.75,32.0,1.0,0.0,43.0,0.0,4.0,0.5,35.03,27.5,26492.79,0.32,169.0,0.04,1471.82,963.37,0.13,6.0,11.0,26.0,0.15,75.0,94.0,30.0,22.0,54.0,10.42,46.0,-1.0
4.0,19.0,6.0,2.0,14.0,36.0,10.0,0.2,18.0,10.0,1.0,42.0,1.0,0.0,47.0,0.0,10.0,1.0,68.8,14.0,13485.77,0.32,181.0,0.07,749.21,963.27,0.1,9.0,18.0,34.0,0.14,84.0,97.0,30.0,10.0,69.0,25.4,49.0,-1.0
3.0,3.0,0.0,1.0,0.0,4.0,2.0,0.29,2.0,1.0,0.5,5.0,1.0,0.0,6.0,0.0,2.0,1.0,11.71,4.9,281.06,0.02,16.0,0.2,15.61,57.36,0.5,1.0,2.0,5.0,0.17,7.0,9.0,5.0,7.0,12.0,14.29,7.0,-1.0
1.0,5.0,1.0,1.0,0.0,8.0,3.0,0.3,4.0,1.0,0.33,13.0,1.0,0.0,9.0,0.0,3.0,1.0,13.14,11.57,1758.86,0.05,38.0,0.09,97.71,152.0,0.33,2.0,4.0,12.0,0.23,18.0,20.0,7.0,9.0,13.0,10.0,10.0,-1.0
4.0,3.0,2.0,1.0,1.0,4.0,2.0,0.18,2.0,2.0,1.0,6.0,1.0,0.0,10.0,0.0,2.0,1.0,11.89,11.0,1438.79,0.04,32.0,0.09,79.93,130.8,0.5,1.0,2.0,6.0,0.11,12.0,20.0,6.0,11.0,19.0,16.67,11.0,-1.0
0.0,9.0,0.0,11.0,7.0,16.0,5.0,0.17,8.0,1.0,0.2,18.0,1.0,0.0,18.0,0.0,5.0,1.0,30.19,11.08,3704.76,0.11,75.0,0.09,205.82,334.46,0.2,4.0,8.0,15.0,0.12,32.0,43.0,13.0,9.0,42.0,50.0,29.0,-1.0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,10.44,3.5,127.89,0.01,11.0,0.29,7.11,36.54,1.0,0.0,0.0,4.0,0.2,3.0,8.0,3.0,7.0,5.0,0.0,3.0,-1.0
16.0,29.0,2.0,2.0,109.0,56.0,15.0,0.11,28.0,7.0,0.47,70.0,1.0,0.0,135.0,0.0,15.0,1.0,65.71,58.84,227518.97,1.29,700.0,0.02,12639.94,3866.49,0.07,14.0,28.0,57.0,0.06,269.0,431.0,32.0,14.0,264.0,45.12,137.0,-1.0
2.0,5.0,1.0,22.0,0.0,16.0,3.0,0.1,4.0,2.0,0.67,10.0,1.0,0.0,9.0,0.0,3.0,1.0,24.16,13.29,4268.92,0.11,71.0,0.08,237.16,321.17,0.33,6.0,8.0,9.0,0.07,29.0,42.0,12.0,11.0,41.0,70.97,31.0,-1.0
2.0,5.0,1.0,16.0,0.0,14.0,3.0,0.12,4.0,2.0,0.67,10.0,1.0,0.0,9.0,0.0,3.0,1.0,22.7,11.0,2747.01,0.08,56.0,0.09,152.61,249.73,0.33,5.0,7.0,9.0,0.09,22.0,34.0,11.0,11.0,33.0,64.0,25.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,18.49,2.4,106.51,0.01,14.0,0.42,5.92,44.38,1.0,0.0,0.0,2.0,0.17,6.0,8.0,5.0,4.0,6.0,0.0,4.0,-1.0
1.0,3.0,2.0,0.0,2.0,4.0,2.0,0.12,2.0,2.0,1.0,6.0,1.0,0.0,17.0,0.0,2.0,1.0,32.25,11.29,4115.0,0.12,75.0,0.09,228.61,364.35,0.5,1.0,2.0,6.0,0.08,32.0,43.0,17.0,12.0,24.0,10.53,17.0,-1.0
2.0,15.0,7.0,14.0,0.0,28.0,8.0,0.17,14.0,5.0,0.63,32.0,1.0,0.0,32.0,0.0,8.0,1.0,32.54,14.62,6962.7,0.16,98.0,0.07,386.82,476.08,0.13,7.0,14.0,26.0,0.16,36.0,62.0,16.0,13.0,50.0,30.43,46.0,-1.0
0.0,11.0,0.0,0.0,6.0,12.0,6.0,0.6,2.0,1.0,0.17,13.0,6.0,1.0,10.0,0.0,5.0,0.83,26.97,6.3,1070.48,0.06,40.0,0.16,59.47,169.92,1.0,5.0,6.0,9.0,0.33,14.0,26.0,10.0,9.0,18.0,37.5,10.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,7.74,1.5,17.41,0.0,5.0,0.67,0.97,11.61,1.0,0.0,0.0,2.0,0.2,2.0,3.0,2.0,3.0,5.0,0.0,2.0,-1.0
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.25,2.0,1.0,0.5,7.0,1.0,0.0,8.0,0.0,2.0,1.0,16.21,7.31,866.8,0.04,29.0,0.14,48.16,118.54,0.5,1.0,2.0,7.0,0.2,13.0,16.0,8.0,9.0,10.0,0.0,8.0,-1.0
1.0,5.0,0.0,6.0,4.0,8.0,3.0,0.19,4.0,1.0,0.33,10.0,1.0,0.0,10.0,0.0,3.0,1.0,22.08,5.0,552.07,0.04,29.0,0.2,30.67,110.41,0.33,2.0,4.0,9.0,0.13,10.0,19.0,7.0,7.0,24.0,50.0,16.0,-1.0
6.0,3.0,2.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,1.0,6.0,1.0,0.0,7.0,0.0,2.0,1.0,19.48,4.81,451.25,0.03,24.0,0.21,25.07,93.77,0.5,1.0,2.0,6.0,0.13,11.0,13.0,8.0,7.0,15.0,0.0,7.0,-1.0
2.0,3.0,0.0,1.0,0.0,4.0,2.0,0.33,2.0,1.0,0.5,6.0,1.0,0.0,5.0,0.0,2.0,1.0,10.95,6.0,394.38,0.02,19.0,0.17,21.91,65.73,0.5,1.0,2.0,6.0,0.18,10.0,9.0,5.0,6.0,11.0,16.67,6.0,-1.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,2.0,1.0,0.0,10.0,0.0,1.0,1.0,86.0,1.6,220.17,0.05,33.0,0.63,12.23,137.61,1.0,0.0,0.0,3.0,0.07,16.0,17.0,15.0,3.0,14.0,0.0,10.0,-1.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.05,0.0,1.0,1.0,2.0,1.0,0.0,20.0,0.0,0.0,0.0,130.16,2.57,860.66,0.11,73.0,0.39,47.81,334.7,1.0,0.0,0.0,3.0,0.05,36.0,37.0,21.0,3.0,22.0,0.0,20.0,-1.0
2.0,5.0,2.0,0.0,4.0,8.0,3.0,0.27,4.0,2.0,0.67,10.0,1.0,0.0,11.0,0.0,2.0,0.67,19.59,6.6,853.54,0.04,29.0,0.15,47.42,129.32,0.33,2.0,4.0,9.0,0.16,11.0,18.0,10.0,12.0,19.0,26.67,11.0,-1.0
4.0,65.0,4.0,1.0,3.0,128.0,33.0,0.2,64.0,2.0,0.06,160.0,1.0,0.0,161.0,0.0,32.0,0.97,124.02,34.8,150174.45,1.44,722.0,0.03,8343.02,4315.6,0.03,32.0,64.0,129.0,0.19,329.0,393.0,52.0,11.0,171.0,2.42,162.0,-1.0
3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.13,0.0,1.0,1.0,7.0,1.0,0.0,8.0,0.0,0.0,0.0,26.46,10.4,2862.24,0.09,66.0,0.1,159.01,275.22,1.0,0.0,0.0,8.0,0.07,26.0,40.0,10.0,8.0,15.0,20.0,8.0,-1.0
1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.14,0.0,1.0,1.0,3.0,1.0,0.0,7.0,5.0,1.0,1.0,32.17,3.5,394.06,0.04,27.0,0.29,21.89,112.59,1.0,0.0,0.0,4.0,0.07,11.0,16.0,11.0,7.0,14.0,0.0,7.0,-1.0
2.0,13.0,4.0,6.0,6.0,16.0,8.0,0.13,8.0,8.0,1.0,26.0,1.0,0.0,57.0,0.0,8.0,1.0,28.4,29.22,24245.57,0.28,152.0,0.03,1346.98,829.83,0.13,4.0,8.0,20.0,0.11,64.0,88.0,23.0,21.0,73.0,17.39,63.0,-1.0
0.0,9.0,0.0,0.0,1.0,12.0,5.0,1.25,2.0,1.0,0.2,11.0,5.0,1.0,4.0,0.0,5.0,1.0,16.64,8.94,1328.8,0.05,35.0,0.11,73.82,148.68,1.0,5.0,8.0,8.0,0.71,13.0,22.0,8.0,11.0,7.0,20.0,4.0,-1.0
3.0,7.0,5.0,1.0,2.0,10.0,4.0,0.21,4.0,3.0,0.75,16.0,3.0,0.67,18.0,0.0,3.0,0.75,23.39,8.64,1744.95,0.07,46.0,0.12,96.94,202.05,0.75,3.0,5.0,14.0,0.15,19.0,27.0,11.0,10.0,26.0,14.29,19.0,-1.0
3.0,41.0,1.0,0.0,1.0,42.0,21.0,0.46,2.0,1.0,0.05,63.0,21.0,1.0,46.0,0.0,2.0,0.1,109.88,12.14,16192.96,0.44,234.0,0.08,899.61,1333.9,1.0,20.0,21.0,44.0,0.4,116.0,118.0,43.0,9.0,52.0,2.13,46.0,-1.0
10.0,3.0,5.0,0.0,18.0,8.0,2.0,0.06,4.0,2.0,1.0,21.0,1.0,0.0,35.0,0.0,2.0,1.0,60.99,27.71,46829.13,0.56,291.0,0.04,2601.62,1689.94,0.5,2.0,4.0,21.0,0.03,117.0,174.0,38.0,18.0,65.0,33.96,35.0,-1.0
2.0,11.0,1.0,3.0,2.0,18.0,6.0,0.22,8.0,3.0,0.5,20.0,6.0,1.0,24.0,0.0,4.0,0.67,19.24,26.13,13132.25,0.17,98.0,0.04,729.57,502.67,1.0,5.0,9.0,16.0,0.18,44.0,54.0,16.0,19.0,33.0,17.24,27.0,-1.0
0.0,11.0,0.0,2.0,5.0,20.0,3.0,0.19,10.0,1.0,0.33,25.0,1.0,0.0,14.0,0.0,2.0,0.67,27.04,6.65,1195.99,0.06,44.0,0.15,66.44,179.85,0.33,5.0,10.0,21.0,0.12,19.0,25.0,10.0,7.0,25.0,33.33,16.0,-1.0
4.0,19.0,2.0,0.0,7.0,30.0,10.0,0.24,12.0,7.0,0.7,34.0,7.0,0.67,41.0,0.0,7.0,0.7,40.22,15.43,9572.82,0.21,123.0,0.06,531.82,620.46,0.7,9.0,15.0,26.0,0.19,54.0,69.0,21.0,12.0,54.0,14.58,41.0,-1.0
4.0,43.0,1.0,3.0,0.0,84.0,22.0,0.05,42.0,2.0,0.09,137.0,1.0,0.0,479.0,0.0,5.0,0.23,1643.15,10.81,192184.74,5.92,2029.0,0.09,10676.93,17770.43,0.05,21.0,42.0,117.0,0.05,1019.0,1010.0,424.0,9.0,487.0,0.62,482.0,-1.0
2.0,9.0,0.0,6.0,0.0,16.0,5.0,0.25,8.0,1.0,0.2,19.0,1.0,0.0,14.0,0.0,5.0,1.0,23.12,11.15,2875.94,0.09,57.0,0.09,159.77,257.83,0.2,4.0,8.0,16.0,0.2,29.0,28.0,13.0,10.0,25.0,30.0,20.0,-1.0
4.0,15.0,7.0,4.0,3.0,20.0,1.0,0.02,10.0,1.0,1.0,37.0,1.0,0.0,53.0,0.0,1.0,1.0,61.35,18.11,20109.39,0.37,193.0,0.06,1117.19,1110.69,1.0,5.0,10.0,30.0,0.01,86.0,107.0,38.0,16.0,67.0,11.67,57.0,-1.0
3.0,11.0,0.0,0.0,7.0,14.0,6.0,0.35,4.0,1.0,0.17,16.0,5.0,0.8,17.0,0.0,3.0,0.5,30.02,8.14,1990.3,0.08,52.0,0.12,110.57,244.42,0.83,5.0,9.0,12.0,0.21,19.0,33.0,14.0,12.0,29.0,29.17,17.0,-1.0
1.0,7.0,0.0,4.0,1.0,12.0,4.0,0.27,6.0,1.0,0.25,13.0,1.0,0.0,11.0,0.0,4.0,1.0,20.36,5.5,616.0,0.04,28.0,0.18,34.22,112.0,0.25,3.0,6.0,11.0,0.17,11.0,17.0,8.0,8.0,23.0,31.25,15.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,6.0,1.0,1.0,27.35,3.0,246.13,0.03,21.0,0.33,13.67,82.04,1.0,0.0,0.0,3.0,0.17,9.0,12.0,9.0,6.0,6.0,0.0,2.0,-1.0
5.0,15.0,7.0,8.0,2.0,24.0,8.0,0.15,12.0,7.0,0.88,37.0,1.0,0.0,44.0,0.0,7.0,0.88,56.98,20.85,24780.28,0.4,202.0,0.05,1376.68,1188.29,0.13,6.0,12.0,31.0,0.13,95.0,107.0,41.0,18.0,61.0,18.52,52.0,-1.0
2.0,9.0,0.0,6.0,0.0,16.0,5.0,0.25,8.0,1.0,0.2,19.0,1.0,0.0,14.0,1.0,5.0,1.0,23.12,11.15,2875.94,0.09,57.0,0.09,159.77,257.83,0.2,4.0,8.0,16.0,0.2,29.0,28.0,13.0,10.0,25.0,30.0,20.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,0.0,0.0,3.0,0.25,1.0,3.0,1.0,3.0,4.0,0.0,2.0,-1.0
