l,n_0,n_1,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_2,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_3,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_4,n_5,n_6,n_7,n_8,n_9
-1.0,39.0,23.0,7.0,0.58,49.0,5.0,0.36,68.0,5.0,52.05,21.71,24543.69,10.0,0.38,187.0,0.05,1363.54,1130.3,0.42,11.0,20.0,39.0,0.07,4.0,76.0,111.0,42.0,24.0,177.0,47.69,72.0,,,58.0,40.0,12.0,0.17,18.0,2.22
-1.0,1.0,7.0,4.0,1.0,20.0,1.0,0.0,15.0,1.0,20.45,13.07,3491.27,1.0,0.09,55.0,0.08,193.96,267.19,0.25,3.0,6.0,18.0,0.22,1.0,28.0,27.0,15.0,14.0,18.0,6.25,16.0,,,0.0,12.0,4.0,0.25,6.0,2.0
-1.0,19.0,7.0,4.0,1.0,16.0,1.0,0.0,21.0,0.0,31.79,17.86,10140.57,3.0,0.19,104.0,0.06,563.36,567.78,0.25,3.0,6.0,14.0,0.05,4.0,47.0,57.0,25.0,19.0,84.0,48.78,25.0,,,16.0,12.0,4.0,0.16,6.0,2.0
-1.0,10.0,29.0,6.0,0.4,74.0,11.0,0.71,149.0,6.0,118.83,46.92,261640.64,8.0,1.86,781.0,0.02,14535.59,5575.99,0.73,14.0,28.0,61.0,0.07,2.0,333.0,448.0,110.0,31.0,227.0,31.02,151.0,,,65.0,56.0,15.0,0.1,28.0,2.0
-1.0,5.0,3.0,2.0,1.0,7.0,1.0,0.0,10.0,1.0,10.42,6.75,474.58,1.0,0.02,19.0,0.15,26.37,70.31,0.5,1.0,2.0,7.0,0.13,0.0,6.0,13.0,4.0,9.0,16.0,0.0,10.0,,,0.0,4.0,2.0,0.2,2.0,2.0
-1.0,3.0,3.0,1.0,0.5,6.0,1.0,0.0,13.0,2.0,18.1,9.63,1676.34,0.0,0.06,41.0,0.1,93.13,174.17,0.5,1.0,2.0,6.0,0.12,0.0,14.0,27.0,8.0,11.0,17.0,0.0,13.0,,,0.0,4.0,2.0,0.15,2.0,2.0
-1.0,15.0,7.0,4.0,1.0,15.0,1.0,0.0,13.0,0.0,26.75,11.03,3253.68,3.0,0.1,59.0,0.09,180.76,295.0,0.25,3.0,6.0,13.0,0.1,3.0,25.0,34.0,17.0,15.0,40.0,45.83,16.0,,,8.0,12.0,4.0,0.25,6.0,2.0
-1.0,13.0,3.0,2.0,1.0,6.0,1.0,0.0,18.0,2.0,25.62,24.42,15282.02,1.0,0.21,122.0,0.04,849.0,625.77,0.5,1.0,2.0,6.0,0.04,3.0,58.0,64.0,19.0,16.0,53.0,53.85,21.0,,,18.0,4.0,2.0,0.1,2.0,2.0
-1.0,5.0,9.0,4.0,0.8,24.0,1.0,0.0,25.0,1.0,27.4,20.16,11135.5,1.0,0.18,100.0,0.05,618.64,552.36,0.2,4.0,8.0,21.0,0.15,2.0,48.0,52.0,25.0,21.0,33.0,7.41,27.0,,,0.0,16.0,5.0,0.19,8.0,2.0
-1.0,13.0,9.0,5.0,1.0,20.0,1.0,0.0,23.0,0.0,30.19,7.85,1858.26,7.0,0.08,51.0,0.13,103.24,236.84,0.2,4.0,8.0,17.0,0.09,1.0,17.0,34.0,13.0,12.0,58.0,47.73,24.0,,,20.0,16.0,5.0,0.21,8.0,2.0
-1.0,13.0,17.0,9.0,1.0,59.0,1.0,0.0,62.0,0.0,183.65,7.02,9044.12,5.0,0.43,214.0,0.14,502.45,1288.79,0.11,8.0,16.0,52.0,0.12,2.0,100.0,114.0,57.0,8.0,78.0,3.13,64.0,,,0.0,32.0,9.0,0.14,16.0,2.0
-1.0,1.0,3.0,2.0,1.0,9.0,1.0,0.0,22.0,1.0,36.77,11.48,4842.06,5.0,0.14,81.0,0.09,269.0,421.97,0.5,1.0,2.0,9.0,0.06,0.0,27.0,54.0,20.0,17.0,36.0,35.29,22.0,,,12.0,4.0,2.0,0.09,2.0,2.0
-1.0,2.0,3.0,2.0,1.0,6.0,1.0,0.0,12.0,2.0,20.76,2.5,129.72,1.0,0.02,15.0,0.4,7.21,51.89,0.5,1.0,2.0,6.0,0.12,2.0,6.0,9.0,6.0,5.0,17.0,14.29,14.0,,,0.0,4.0,2.0,0.14,2.0,2.0
-1.0,9.0,5.0,3.0,1.0,14.0,1.0,0.0,17.0,0.0,29.6,24.29,17460.6,2.0,0.24,137.0,0.04,970.03,718.97,0.33,2.0,4.0,13.0,0.09,4.0,60.0,77.0,21.0,17.0,34.0,29.17,21.0,,,3.0,8.0,3.0,0.14,4.0,2.0
-1.0,10.0,5.0,2.0,0.67,18.0,1.0,0.0,16.0,1.0,45.77,7.71,2723.97,9.0,0.12,70.0,0.13,151.33,353.11,0.33,2.0,4.0,17.0,0.04,2.0,27.0,43.0,21.0,12.0,71.0,55.56,18.0,,,18.0,8.0,3.0,0.17,4.0,2.0
-1.0,5.0,3.0,2.0,1.0,13.0,1.0,0.0,30.0,0.0,58.05,14.68,12512.17,9.0,0.28,151.0,0.07,695.12,852.22,0.5,1.0,2.0,13.0,0.05,0.0,57.0,94.0,33.0,17.0,42.0,16.67,30.0,,,6.0,4.0,2.0,0.07,2.0,2.0
-1.0,4.0,3.0,1.0,0.5,6.0,1.0,0.0,10.0,0.0,23.58,12.5,3685.04,1.0,0.1,62.0,0.08,204.72,294.8,0.5,1.0,2.0,6.0,0.11,4.0,20.0,42.0,12.0,15.0,19.0,28.57,14.0,,,0.0,4.0,2.0,0.14,2.0,2.0
-1.0,4.0,3.0,1.0,0.5,5.0,1.0,0.0,11.0,2.0,20.51,6.11,765.94,0.0,0.04,29.0,0.16,42.55,125.34,0.5,1.0,2.0,5.0,0.12,0.0,10.0,19.0,9.0,11.0,17.0,8.33,11.0,,,1.0,4.0,2.0,0.18,2.0,2.0
1.0,46.0,39.0,4.0,0.2,97.0,9.0,0.42,91.0,1.0,72.67,51.47,192513.32,6.0,1.25,568.0,0.02,10695.18,3740.26,0.45,19.0,35.0,79.0,0.08,20.0,250.0,318.0,68.0,28.0,254.0,56.04,111.0,,,96.0,70.0,20.0,0.18,32.0,2.19
1.0,36.0,13.0,7.0,1.0,30.0,1.0,0.0,44.0,0.0,78.96,22.12,38620.28,5.0,0.58,269.0,0.05,2145.57,1746.31,0.14,6.0,12.0,25.0,0.07,6.0,115.0,154.0,65.0,25.0,101.0,31.25,50.0,,,14.0,24.0,7.0,0.14,12.0,2.0
1.0,12.0,5.0,1.0,0.33,12.0,1.0,0.0,19.0,2.0,45.57,9.64,4237.49,3.0,0.15,85.0,0.1,235.42,439.44,0.33,2.0,4.0,11.0,0.05,2.0,27.0,58.0,21.0,15.0,56.0,55.81,21.0,,,22.0,8.0,3.0,0.14,4.0,2.0
1.0,15.0,7.0,2.0,0.5,17.0,1.0,0.0,31.0,1.0,38.55,21.52,17846.19,3.0,0.28,141.0,0.05,991.46,829.45,0.25,3.0,6.0,15.0,0.06,1.0,51.0,90.0,32.0,27.0,67.0,39.22,32.0,,,19.0,12.0,4.0,0.13,6.0,2.0
-1.0,5.0,18.0,10.0,1.0,65.0,5.0,0.44,52.0,0.0,9.0,0.9,80.76,15.0,27.14,59492.48,0.73,353.0,0.04,3305.14,2191.94,0.5,7.0,13.0,0.0,57.0,0.17,137.0,216.0,53.0,21.0,59.0,0.0,52.0,0.0,26.0,10.0,0.19,12.0,2.17
-1.0,1.0,9.0,4.0,0.67,26.0,1.0,0.0,28.0,0.0,4.0,0.67,52.27,6.0,12.46,8112.64,0.22,125.0,0.08,450.7,651.18,0.17,1.0,2.0,0.0,22.0,0.19,46.0,79.0,24.0,13.0,32.0,3.45,28.0,1.0,4.0,6.0,0.21,2.0,2.0
-1.0,10.0,23.0,12.0,0.92,74.0,1.0,0.0,52.0,1.0,11.0,0.85,64.37,14.0,33.13,70666.9,0.71,348.0,0.03,3925.94,2132.99,0.08,9.0,17.0,0.0,63.0,0.17,127.0,221.0,46.0,24.0,77.0,20.0,52.0,13.0,34.0,13.0,0.25,16.0,2.13
-1.0,0.0,3.0,2.0,1.0,9.0,1.0,0.0,4.0,2.0,2.0,1.0,16.32,3.0,4.67,355.35,0.03,20.0,0.21,19.74,76.15,0.5,1.0,2.0,0.0,9.0,0.4,7.0,13.0,6.0,8.0,5.0,0.0,4.0,0.0,4.0,2.0,0.5,2.0,2.0
-1.0,0.0,3.0,2.0,1.0,9.0,1.0,0.0,4.0,1.0,2.0,1.0,19.99,3.0,5.33,568.57,0.04,28.0,0.19,31.59,106.61,0.5,2.0,3.0,0.0,9.0,0.4,8.0,20.0,6.0,8.0,5.0,0.0,4.0,0.0,6.0,2.0,0.5,2.0,3.0
-1.0,2.0,3.0,2.0,1.0,7.0,1.0,0.0,6.0,0.0,2.0,1.0,17.23,2.0,8.67,1294.27,0.05,34.0,0.12,71.9,149.34,0.5,2.0,3.0,0.0,7.0,0.22,13.0,21.0,9.0,12.0,9.0,0.0,6.0,0.0,6.0,2.0,0.33,2.0,3.0
-1.0,0.0,3.0,2.0,1.0,26.0,1.0,0.0,19.0,0.0,2.0,1.0,48.56,10.0,17.22,14395.0,0.28,163.0,0.06,799.72,836.07,0.5,1.0,2.0,0.0,26.0,0.1,66.0,97.0,23.0,12.0,20.0,0.0,19.0,0.0,4.0,2.0,0.11,2.0,2.0
-1.0,28.0,59.0,34.0,0.94,233.0,20.0,0.54,241.0,0.0,33.0,0.92,238.08,46.0,40.75,395438.84,3.23,1287.0,0.02,21968.82,9702.9,0.56,11.0,21.0,1.0,199.0,0.12,480.0,807.0,159.0,27.0,310.0,13.93,242.0,38.0,42.0,36.0,0.15,20.0,2.1
-1.0,3.0,7.0,4.0,1.0,24.0,1.0,0.0,17.0,2.0,3.0,0.75,33.69,9.0,16.2,8841.71,0.18,104.0,0.06,491.21,545.78,0.25,3.0,6.0,0.0,22.0,0.16,36.0,68.0,20.0,18.0,25.0,10.53,17.0,2.0,12.0,4.0,0.24,6.0,2.0
-1.0,3.0,10.0,6.0,1.0,31.0,1.0,0.0,23.0,0.0,6.0,1.0,38.97,7.0,10.97,4689.17,0.14,88.0,0.09,260.51,427.5,0.17,3.0,6.0,0.0,27.0,0.21,27.0,61.0,16.0,13.0,29.0,8.0,23.0,2.0,12.0,6.0,0.26,6.0,2.0
-1.0,1.0,3.0,2.0,1.0,9.0,1.0,0.0,9.0,1.0,2.0,1.0,17.15,4.0,13.0,2898.63,0.07,50.0,0.08,161.04,222.97,0.5,1.0,2.0,0.0,9.0,0.18,18.0,32.0,9.0,13.0,11.0,0.0,9.0,0.0,4.0,2.0,0.22,2.0,2.0
-1.0,0.0,5.0,3.0,1.0,15.0,3.0,1.0,14.0,1.0,1.0,0.33,26.73,4.0,9.21,2266.4,0.08,53.0,0.11,125.91,246.12,1.0,2.0,4.0,0.0,14.0,0.2,17.0,36.0,12.0,13.0,15.0,0.0,14.0,0.0,8.0,3.0,0.21,4.0,2.0
-1.0,9.0,12.0,6.0,0.86,38.0,1.0,0.0,34.0,1.0,5.0,0.71,54.94,10.0,20.4,22864.72,0.37,193.0,0.05,1270.26,1120.82,0.14,4.0,8.0,0.0,33.0,0.13,68.0,125.0,35.0,21.0,53.0,19.05,34.0,8.0,16.0,7.0,0.21,8.0,2.0
-1.0,0.0,17.0,8.0,0.89,48.0,1.0,0.0,20.0,1.0,9.0,1.0,35.13,1.0,15.23,8150.47,0.18,120.0,0.07,452.8,535.13,0.11,8.0,16.0,0.0,41.0,0.43,44.0,76.0,13.0,9.0,21.0,0.0,20.0,0.0,32.0,9.0,0.45,16.0,2.0
-1.0,6.0,9.0,5.0,1.0,34.0,4.0,0.75,24.0,1.0,3.0,0.6,47.78,10.0,23.7,26838.69,0.38,195.0,0.04,1491.04,1132.43,0.8,4.0,7.0,0.0,31.0,0.15,79.0,116.0,35.0,21.0,33.0,7.69,24.0,2.0,14.0,5.0,0.21,6.0,2.33
1.0,15.0,27.0,15.0,1.0,83.0,7.0,0.43,66.0,1.0,14.0,0.93,73.44,17.0,25.26,46844.09,0.62,314.0,0.04,2602.45,1854.76,0.47,10.0,19.0,4.0,70.0,0.16,109.0,205.0,41.0,19.0,94.0,13.16,70.0,6.0,38.0,15.0,0.21,18.0,2.11
1.0,27.0,51.0,23.0,0.77,229.0,14.0,0.45,211.0,0.0,27.0,0.9,195.9,45.0,54.54,582830.35,3.56,1413.0,0.02,32379.46,10685.45,0.47,16.0,31.0,3.0,201.0,0.12,556.0,857.0,158.0,31.0,246.0,2.31,214.0,2.0,62.0,30.0,0.14,30.0,2.07
1.0,7.0,7.0,5.0,1.0,52.0,1.0,0.0,57.0,0.0,5.0,1.0,139.4,22.0,16.46,37755.59,0.76,357.0,0.06,2097.53,2294.18,0.2,1.0,2.0,0.0,49.0,0.08,144.0,213.0,70.0,16.0,65.0,0.0,57.0,0.0,4.0,5.0,0.09,2.0,2.0
-1.0,1.0,21.0,7.0,0.64,40.0,9.0,0.8,28.0,1.0,11.0,1.0,22.35,4.0,34.53,26650.95,0.26,153.0,0.03,1480.61,771.79,0.82,10.0,18.0,0.0,31.0,0.35,65.0,88.0,16.0,17.0,31.0,0.0,28.0,0.0,36.0,11.0,0.39,16.0,2.25
-1.0,13.0,13.0,2.0,0.29,29.0,4.0,0.5,39.0,0.0,0.0,0.0,42.89,4.0,24.48,25705.69,0.35,187.0,0.04,1428.09,1049.95,0.57,6.0,12.0,2.0,24.0,0.1,71.0,116.0,29.0,20.0,69.0,27.78,41.0,13.0,24.0,7.0,0.17,12.0,2.0
-1.0,0.0,3.0,1.0,0.5,6.0,1.0,0.0,11.0,1.0,2.0,1.0,16.29,0.0,7.56,931.62,0.04,29.0,0.13,51.76,123.19,0.5,1.0,2.0,0.0,6.0,0.14,11.0,18.0,8.0,11.0,14.0,8.33,11.0,1.0,4.0,2.0,0.18,2.0,2.0
-1.0,1.0,3.0,1.0,0.5,6.0,1.0,0.0,7.0,2.0,2.0,1.0,10.42,0.0,8.25,709.1,0.03,22.0,0.12,39.39,85.95,0.5,1.0,2.0,0.0,6.0,0.17,11.0,11.0,6.0,9.0,12.0,22.22,7.0,2.0,4.0,2.0,0.29,2.0,2.0
-1.0,2.0,7.0,1.0,0.25,14.0,1.0,0.0,20.0,0.0,2.0,0.5,17.76,0.0,19.62,6833.79,0.12,71.0,0.05,379.65,348.39,0.25,3.0,6.0,2.0,12.0,0.15,30.0,41.0,13.0,17.0,26.0,9.09,22.0,0.0,12.0,4.0,0.18,6.0,2.0
-1.0,1.0,7.0,2.0,0.5,16.0,1.0,0.0,9.0,1.0,2.0,0.5,9.94,1.0,20.43,4149.67,0.07,47.0,0.05,230.54,203.13,0.25,3.0,6.0,0.0,14.0,0.33,22.0,25.0,7.0,13.0,12.0,0.0,9.0,0.0,12.0,4.0,0.44,6.0,2.0
-1.0,9.0,13.0,3.0,0.43,28.0,1.0,0.0,30.0,0.0,7.0,1.0,29.37,2.0,18.17,9701.95,0.18,99.0,0.06,539.0,533.84,0.14,7.0,14.0,0.0,23.0,0.13,44.0,55.0,23.0,19.0,55.0,31.82,30.0,14.0,28.0,7.0,0.23,14.0,2.0
-1.0,24.0,24.0,1.0,0.05,49.0,1.0,0.0,91.0,1.0,20.0,1.0,65.56,0.0,23.68,36775.64,0.52,241.0,0.04,2043.09,1552.75,0.05,3.0,6.0,3.0,31.0,0.15,90.0,151.0,57.0,30.0,137.0,18.02,94.0,17.0,12.0,20.0,0.21,6.0,2.0
1.0,60.0,115.0,16.0,0.28,247.0,39.0,0.67,287.0,0.0,46.0,0.79,107.39,9.0,96.09,991629.56,3.44,1479.0,0.01,55090.53,10319.4,0.67,57.0,108.0,19.0,191.0,0.12,615.0,864.0,96.0,30.0,466.0,28.96,306.0,98.0,216.0,58.0,0.19,102.0,2.12
1.0,5.0,5.0,1.0,0.33,9.0,1.0,0.0,14.0,2.0,1.0,0.33,15.99,0.0,6.67,710.71,0.04,28.0,0.15,39.48,106.61,0.33,2.0,4.0,0.0,8.0,0.11,10.0,18.0,6.0,8.0,28.0,33.33,14.0,7.0,8.0,3.0,0.21,4.0,2.0
1.0,13.0,58.0,21.0,0.66,105.0,20.0,0.61,120.0,0.0,27.0,0.84,49.52,8.0,51.79,132801.57,0.85,408.0,0.02,7377.86,2564.44,0.63,25.0,40.0,15.0,75.0,0.2,175.0,233.0,49.0,29.0,162.0,18.37,135.0,12.0,80.0,32.0,0.24,30.0,2.67
1.0,11.0,15.0,5.0,0.63,41.0,1.0,0.0,49.0,1.0,2.0,0.25,29.04,3.0,65.22,123506.5,0.63,349.0,0.02,6861.47,1893.77,0.13,7.0,14.0,8.0,35.0,0.09,150.0,199.0,23.0,20.0,91.0,37.18,57.0,21.0,28.0,8.0,0.14,14.0,2.0
-1.0,4.0,5.0,3.0,1.0,21.0,1.0,0.0,18.0,0.0,74.01,4.08,1234.01,10.0,0.1,61.0,0.24,68.56,302.21,0.33,2.0,4.0,20.0,0.11,0.0,28.0,33.0,24.0,7.0,27.0,18.18,18.0,,,4.0,8.0,3.0,0.17,4.0,2.0
-1.0,10.0,7.0,2.0,0.5,23.0,3.0,0.0,26.0,0.0,44.19,10.02,4437.26,7.0,0.15,85.0,0.1,246.51,442.8,0.75,3.0,6.0,21.0,0.08,0.0,37.0,48.0,24.0,13.0,51.0,35.0,26.0,,,14.0,12.0,4.0,0.15,6.0,2.0
-1.0,6.0,5.0,3.0,1.0,19.0,1.0,0.0,23.0,2.0,34.08,11.19,4270.38,6.0,0.13,77.0,0.09,237.24,381.47,0.33,2.0,4.0,18.0,0.06,0.0,31.0,46.0,18.0,13.0,48.0,43.9,23.0,,,18.0,8.0,3.0,0.13,4.0,2.0
-1.0,4.0,3.0,2.0,1.0,12.0,1.0,0.0,13.0,1.0,46.71,4.07,774.24,6.0,0.06,44.0,0.25,43.01,190.16,0.5,1.0,2.0,12.0,0.1,0.0,19.0,25.0,14.0,6.0,20.0,13.33,13.0,,,2.0,4.0,2.0,0.15,2.0,2.0
-1.0,6.0,15.0,6.0,0.67,32.0,1.0,0.0,31.0,0.0,35.72,13.91,6910.42,7.0,0.17,94.0,0.07,383.91,496.83,0.11,4.0,7.0,25.0,0.21,0.0,36.0,58.0,22.0,17.0,43.0,13.89,31.0,,,5.0,14.0,9.0,0.29,6.0,2.33
-1.0,4.0,11.0,3.0,0.5,24.0,1.0,0.0,20.0,1.0,22.99,18.44,7817.84,2.0,0.14,82.0,0.05,434.32,423.93,0.17,5.0,10.0,20.0,0.18,0.0,33.0,49.0,17.0,19.0,33.0,28.57,20.0,,,8.0,20.0,6.0,0.3,10.0,2.0
-1.0,10.0,5.0,3.0,1.0,20.0,1.0,0.0,44.0,2.0,58.61,15.28,13683.04,7.0,0.3,151.0,0.07,760.17,895.54,0.33,2.0,4.0,19.0,0.05,3.0,73.0,78.0,43.0,18.0,65.0,18.52,47.0,,,7.0,8.0,3.0,0.06,4.0,2.0
-1.0,13.0,35.0,8.0,0.44,74.0,12.0,0.0,61.0,1.0,76.37,23.23,41194.43,9.0,0.59,276.0,0.04,2288.58,1773.65,0.67,17.0,48.0,58.0,0.22,0.0,120.0,156.0,62.0,24.0,83.0,11.59,61.0,,,8.0,52.0,18.0,0.3,18.0,2.89
-1.0,3.0,5.0,3.0,1.0,15.0,1.0,0.0,16.0,2.0,22.71,10.68,2589.55,2.0,0.08,51.0,0.09,143.86,242.5,0.33,2.0,4.0,14.0,0.14,0.0,23.0,28.0,14.0,13.0,22.0,11.11,16.0,,,2.0,8.0,3.0,0.19,4.0,2.0
-1.0,1.0,5.0,3.0,1.0,13.0,1.0,0.0,20.0,0.0,42.85,5.83,1458.23,3.0,0.08,52.0,0.17,81.01,249.98,0.33,2.0,4.0,12.0,0.14,0.0,21.0,31.0,18.0,10.0,22.0,0.0,20.0,,,0.0,8.0,3.0,0.15,4.0,2.0
-1.0,1.0,9.0,3.0,0.6,14.0,5.0,1.0,9.0,1.0,18.8,4.57,392.92,2.0,0.03,22.0,0.22,21.83,85.95,1.0,4.0,5.0,11.0,0.29,0.0,8.0,14.0,7.0,8.0,17.0,40.0,9.0,,,6.0,10.0,5.0,0.56,2.0,5.0
-1.0,1.0,3.0,2.0,1.0,6.0,1.0,0.0,5.0,0.0,16.73,3.0,150.57,2.0,0.02,14.0,0.33,8.36,50.19,0.5,1.0,2.0,6.0,0.25,0.0,6.0,8.0,6.0,6.0,8.0,16.67,5.0,,,1.0,4.0,2.0,0.4,2.0,2.0
-1.0,10.0,17.0,3.0,0.33,39.0,5.0,0.0,31.0,0.0,52.98,20.54,22355.6,4.0,0.36,190.0,0.05,1241.98,1088.3,0.56,8.0,15.0,32.0,0.17,0.0,87.0,103.0,36.0,17.0,52.0,24.39,31.0,,,10.0,28.0,9.0,0.29,12.0,2.33
-1.0,9.0,5.0,2.0,0.67,12.0,3.0,1.0,27.0,2.0,35.26,21.24,15905.03,2.0,0.25,138.0,0.05,883.61,748.82,1.0,2.0,4.0,11.0,0.07,0.0,59.0,79.0,25.0,18.0,42.0,15.63,27.0,,,5.0,8.0,3.0,0.11,4.0,2.0
-1.0,5.0,7.0,4.0,1.0,26.0,1.0,0.0,25.0,2.0,73.59,5.95,2602.12,13.0,0.15,84.0,0.17,144.56,437.59,0.25,2.0,4.0,24.0,0.11,0.0,37.0,47.0,28.0,9.0,38.0,21.88,25.0,,,7.0,8.0,4.0,0.16,4.0,2.0
-1.0,2.0,3.0,2.0,1.0,7.0,1.0,0.0,5.0,1.0,10.24,4.9,245.93,1.0,0.02,14.0,0.2,13.66,50.19,0.5,1.0,2.0,7.0,0.2,0.0,7.0,7.0,5.0,7.0,10.0,28.57,5.0,,,2.0,4.0,2.0,0.4,2.0,2.0
-1.0,10.0,13.0,7.0,1.0,53.0,1.0,0.0,52.0,2.0,138.63,8.18,9298.52,14.0,0.38,193.0,0.12,516.58,1135.35,0.14,5.0,10.0,48.0,0.1,0.0,91.0,102.0,50.0,9.0,68.0,8.77,52.0,,,5.0,20.0,7.0,0.13,10.0,2.0
-1.0,1.0,11.0,6.0,1.0,21.0,1.0,0.0,16.0,2.0,40.18,6.59,1743.9,2.0,0.09,57.0,0.15,96.88,264.7,0.17,5.0,10.0,17.0,0.33,0.0,28.0,29.0,17.0,8.0,18.0,0.0,16.0,,,0.0,20.0,6.0,0.38,10.0,2.0
-1.0,14.0,31.0,9.0,0.56,53.0,7.0,0.0,54.0,0.0,80.38,11.1,9899.11,6.0,0.3,155.0,0.09,549.95,892.01,0.44,15.0,26.0,39.0,0.21,0.0,70.0,85.0,41.0,13.0,77.0,12.9,54.0,,,8.0,48.0,16.0,0.3,18.0,2.67
-1.0,15.0,22.0,19.0,1.0,53.0,1.0,0.0,59.0,1.0,64.91,25.17,41124.72,16.0,0.54,257.0,0.04,2284.71,1633.89,0.05,2.0,4.0,36.0,0.25,0.0,92.0,165.0,53.0,29.0,76.0,1.67,59.0,,,1.0,8.0,19.0,0.32,4.0,2.0
-1.0,1.0,3.0,2.0,1.0,8.0,1.0,0.0,9.0,1.0,15.29,7.22,797.67,1.0,0.04,26.0,0.14,44.31,110.45,0.5,1.0,2.0,8.0,0.15,0.0,13.0,13.0,9.0,10.0,13.0,18.18,9.0,,,2.0,4.0,2.0,0.22,2.0,2.0
-1.0,1.0,5.0,3.0,1.0,11.0,1.0,0.0,12.0,0.0,30.45,4.62,648.71,4.0,0.05,32.0,0.22,36.04,140.55,0.33,2.0,4.0,10.0,0.21,0.0,15.0,17.0,13.0,8.0,14.0,0.0,12.0,,,0.0,8.0,3.0,0.25,4.0,2.0
1.0,4.0,3.0,2.0,1.0,8.0,1.0,0.0,20.0,1.0,48.42,7.26,2552.29,3.0,0.12,68.0,0.14,141.79,351.55,0.5,1.0,2.0,8.0,0.07,0.0,33.0,35.0,25.0,11.0,27.0,9.09,20.0,,,2.0,4.0,2.0,0.1,2.0,2.0
1.0,0.0,7.0,2.0,0.5,14.0,1.0,0.0,10.0,0.0,31.93,5.45,949.99,1.0,0.06,41.0,0.18,52.78,174.17,0.25,3.0,6.0,12.0,0.36,0.0,15.0,26.0,11.0,8.0,11.0,0.0,10.0,,,0.0,12.0,4.0,0.4,6.0,2.0
